"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"SURG SCI","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","2","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","3","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","26","4.000","30.8",".",".",".",".","",".","",".","69.2","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","158","3.416","31.6","27.2","37.3","2.5","1.3","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","550","3.144","12.7","15.6","25.3","3.8","4.2","",".","",".","38.4","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","308","4.000","46.8",".",".",".",".","",".","",".","53.2","",".",".","",".","",".","",".",".",".","."
"Professionals","1042","3.375","26.1","12.4","19.0","2.4","2.4","",".","",".","37.7","",".",".","",".","",".","",".",".",".","."
