"COUNSELING PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"270
COUN PSY","","","","","","","","","","","","","","","","","","",""
"","105
001","15","3.867","80.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
002","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
105","22","3.881","77.3","13.6","4.5",".",".",".",".",".",".",".",".",".",".",".",".","4.5"
"","105
006","22","3.786","63.6","22.7","9.1",".",".",".",".",".",".",".",".",".",".",".",".","4.5"
"Human Dev; Awareness Proc","Course Total","72","3.871","77.8","13.9","5.6",".",".",".",".",".",".",".",".",".",".",".",".","2.8"
"Human Dev:Career Strategies","110
001","13","3.846","84.6",".","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
002","23","3.957","95.7",".","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
003","17","3.933","76.5","11.8",".",".",".",".",".",".",".",".",".",".",".","5.9","5.9","."
"","115
012","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","115
013","16","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","014
115","14","3.929","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
024","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","115
025","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","115
027","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
028","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
029","9","3.667","66.7","22.2",".",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","115
030","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Human Dev: Ed Effectiveness","Course Total","110","3.893","83.6","8.2","4.5",".","0.9",".",".",".",".",".",".",".",".","1.8","0.9","."
"Spec Topics-Cnslg & Guidnce","620
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","650
001","96","3.521","34.4","45.8","11.5","6.3","2.1",".",".",".",".",".",".",".",".",".",".","."
"","650
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Theory & Prac-Interviewing","Course Total","97","3.485","34.0","45.4","11.3","6.2","2.1",".","1.0",".",".",".",".",".",".",".",".","."
"Career Dev Through Life Spn","665
001","9","3.938","77.8","11.1",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"","699
027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
028","21","3.818","90.5",".",".",".",".",".","4.8",".",".",".",".",".",".",".",".","4.8"
"Independent Reading","Course Total","22","3.792","86.4","4.5",".",".",".",".","4.5",".",".",".",".",".",".",".",".","4.5"
"Theories of Counseling","800
001","24","3.896","91.7","4.2",".",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"Assess Tech for Counselors","801
001","22","3.977","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tech&Microskills-Counselors","805
001","23","3.826","69.6","26.1","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","807
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","807
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Suprvsd Pract-Counseling II","Course Total","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Master Intrshp-Cnslg & Guid","810
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Csnlg Psych Tech-Families","825
001","27","3.917","77.8","7.4","3.7",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Consultation Proc-Counselor","850
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Multicultural Counseling","860
001","23","3.909","82.6","8.7","4.3",".",".",".",".",".",".",".",".",".","4.3",".",".","."
"","900
002","6","",".",".",".",".",".",".",".",".",".","83.3","16.7",".",".",".",".","."
"","900
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","900
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Cnsl Psychology Practicum","Course Total","12","",".",".",".",".",".",".",".",".",".","91.7","8.3",".",".",".",".","."
"Couns Psych Practicum","901
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Counseling Psychology","925
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch Methods in Cnsl Psych","950
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
