"ITALIAN (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"508
ITALIAN","","","","","","","","","","","","","","","","","","",""
"","101
001","19","3.132","26.3","15.8","31.6","10.5","15.8",".",".",".",".",".",".",".",".",".",".","."
"","002
101","19","2.711","10.5","10.5","21.1","36.8","15.8","5.3",".",".",".",".",".",".",".",".",".","."
"","003
101","23","2.674","21.7","8.7","39.1","4.3","8.7","4.3","13.0",".",".",".",".",".",".",".",".","."
"","101
004","19","3.526","36.8","42.1","10.5","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"","101
005","23","2.826","8.7","13.0","39.1","30.4","4.3",".","4.3",".",".",".",".",".",".",".",".","."
"","007
101","15","2.821","13.3","33.3","20.0","13.3",".",".","13.3","6.7",".",".",".",".",".",".",".","."
"","101
008","18","3.306","16.7","38.9","38.9",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","101
009","19","2.789","10.5","5.3","42.1","15.8","26.3",".",".",".",".",".",".",".",".",".",".","."
"","101
010","21","3.405","28.6","33.3","28.6","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"","101
011","21","3.310","19.0","47.6","19.0","4.8","9.5",".",".",".",".",".",".",".",".",".",".","."
"","101
012","21","3.048","9.5","19.0","47.6","19.0","4.8",".",".",".",".",".",".",".",".",".",".","."
"","101
014","17","3.029","11.8","23.5","35.3","17.6","11.8",".",".",".",".",".",".",".",".",".",".","."
"","101
015","15","3.267","26.7","26.7","20.0","26.7",".",".",".",".",".",".",".",".",".",".",".","."
"","016
101","12","2.958","8.3","8.3","58.3","16.7","8.3",".",".",".",".",".",".",".",".",".",".","."
"","101
017","20","3.725","70.0","10.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Italian","Course Total","282","3.103","21.6","22.3","30.9","14.5","7.4","0.7","2.1","0.4",".",".",".",".",".",".",".","."
"","102
002","17","3.031","17.6","17.6","29.4","11.8","17.6",".",".","5.9",".",".",".",".",".",".",".","."
"","102
004","17","2.938","5.9","29.4","29.4","5.9","23.5",".",".","5.9",".",".",".",".",".",".",".","."
"","102
006","16","3.600","43.8","31.3","12.5","6.3",".",".",".","6.3",".",".",".",".",".",".",".","."
"","007
102","17","2.941","35.3","5.9","17.6","17.6","17.6",".","5.9",".",".",".",".",".",".",".",".","."
"","102
009","19","2.842","10.5","15.8","31.6","15.8","26.3",".",".",".",".",".",".",".",".",".",".","."
"","102
011","13","2.885","23.1","15.4","23.1","23.1",".","15.4",".",".",".",".",".",".",".",".",".","."
"","102
012","9","2.786","11.1",".","33.3","11.1","22.2",".",".","22.2",".",".",".",".",".",".",".","."
"Second Semester Italian","Course Total","108","3.015","21.3","17.6","25.0","13.0","15.7","1.9","0.9","4.6",".",".",".",".",".",".",".","."
"First Semester Italian Honors","181
001","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
001","21","3.725","61.9","14.3","19.0",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"","003
201","17","3.529","41.2","23.5","35.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ital-Speakrs of Romanc Lang","Course Total","38","3.635","52.6","18.4","26.3",".",".",".",".","2.6",".",".",".",".",".",".",".","."
"","001
203","18","3.194","38.9","27.8","11.1",".","16.7",".","5.6",".",".",".",".",".",".",".",".","."
"","203
002","19","3.441","31.6","31.6","15.8","5.3","5.3",".",".","5.3",".",".",".",".",".",".","5.3","."
"","203
004","22","3.095","36.4","18.2","9.1","9.1","13.6","9.1",".","4.5",".",".",".",".",".",".",".","."
"","203
006","13","2.462","7.7","15.4","15.4","15.4","38.5",".","7.7",".",".",".",".",".",".",".",".","."
"","203
008","19","3.000","15.8","36.8","10.5","15.8","10.5",".","5.3","5.3",".",".",".",".",".",".",".","."
"","203
009","12","2.818","25.0","8.3","25.0","8.3","8.3","16.7",".","8.3",".",".",".",".",".",".",".","."
"Third Semester Italian","Course Total","103","3.041","27.2","24.3","13.6","8.7","14.6","3.9","2.9","3.9",".",".",".",".",".",".","1.0","."
"","204
001","10","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
003","15","3.567","40.0","40.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Italian","Course Total","25","3.580","40.0","40.0","16.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Compostn&Converstn","001
311","9","3.333","33.3","33.3","11.1","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"Intro to Italian Literature","321
001","14","3.224","21.4","28.6","28.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".","."
"Structures of Italian","340
001","15","3.733","46.7","33.3","6.7",".",".",".",".","13.3",".",".",".",".",".",".",".","."
"Il Rinascimento","652
001","12","3.708","66.7","16.7","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Il Trecento","661
001","10","3.500","30.0","50.0",".",".","10.0",".",".","10.0",".",".",".",".",".",".",".","."
"Directed Study","699
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
