"FRENCH (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","",""
"","101
002","20","3.425","40.0","30.0","10.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","101
003","17","3.088","17.6","35.3","17.6","5.9","23.5",".",".",".",".",".",".",".",".",".",".","."
"","005
101","22","3.024","18.2","31.8","13.6","18.2","9.1",".","4.5","4.5",".",".",".",".",".",".",".","."
"","006
101","18","3.306","33.3","33.3","22.2","5.6",".",".","5.6",".",".",".",".",".",".",".",".","."
"","007
101","19","2.806","10.5","21.1","31.6","15.8","5.3","5.3","5.3","5.3",".",".",".",".",".",".",".","."
"","101
008","18","3.361","27.8","38.9","11.1","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"","009
101","21","3.548","42.9","42.9","9.5",".",".","4.8",".",".",".",".",".",".",".",".",".","."
"","011
101","16","3.531","31.3","50.0","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","101
012","17","3.433","29.4","35.3","11.8","5.9","5.9",".",".","11.8",".",".",".",".",".",".",".","."
"","101
013","14","3.429","35.7","28.6","28.6",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"First Semester French","Course Total","182","3.289","28.6","34.6","16.5","9.9","5.5","1.1","1.6","2.2",".",".",".",".",".",".",".","."
"","001
102","11","2.864","18.2","45.5","18.2",".",".",".","18.2",".",".",".",".",".",".",".",".","."
"","102
002","13","3.038","15.4","30.8","15.4","23.1","15.4",".",".",".",".",".",".",".",".",".",".","."
"","102
003","21","3.400","23.8","42.9","19.0","4.8","4.8",".",".","4.8",".",".",".",".",".",".",".","."
"","102
005","18","3.000","16.7","27.8","38.9","5.6",".","5.6","5.6",".",".",".",".",".",".",".",".","."
"","102
007","17","3.294","23.5","29.4","35.3","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"","102
008","16","3.281","37.5","25.0","6.3","18.8","12.5",".",".",".",".",".",".",".",".",".",".","."
"","010
102","11","2.727","18.2","9.1","36.4","9.1","18.2",".","9.1",".",".",".",".",".",".",".",".","."
"Second Semester French","Course Total","107","3.127","22.4","30.8","24.3","9.3","7.5","0.9","3.7","0.9",".",".",".",".",".",".",".","."
"First Sem French Honors","181
001","18","3.361","50.0","16.7","22.2",".","5.6",".","5.6",".",".",".",".",".",".",".",".","."
"Second Sem French Honors","182
001","10","2.900",".","40.0","10.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","203
001","24","3.563","29.2","58.3","8.3","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","203
002","21","3.286","4.8","66.7","19.0",".","9.5",".",".",".",".",".",".",".",".",".",".","."
"","203
003","22","3.114","13.6","27.3","50.0","4.5",".",".","4.5",".",".",".",".",".",".",".",".","."
"","203
004","20","3.658","40.0","45.0","10.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"","203
005","23","3.370","17.4","47.8","26.1","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"","203
006","19","2.778","15.8","10.5","31.6","21.1",".","15.8",".","5.3",".",".",".",".",".",".",".","."
"","203
007","23","3.696","47.8","43.5","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
008","24","3.521","37.5","41.7","12.5","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"","010
203","24","3.542","33.3","45.8","16.7","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","203
011","20","3.250","20.0","25.0","45.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","203
012","19","3.211","10.5","42.1","26.3","21.1",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester French","Course Total","239","3.378","25.1","41.8","22.6","6.3","1.7","1.3","0.4","0.8",".",".",".",".",".",".",".","."
"","204
001","20","3.425","25.0","55.0","15.0",".",".","5.0",".",".",".",".",".",".",".",".",".","."
"","204
002","23","3.500","21.7","65.2","8.7",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"","003
204","24","2.875","8.3","12.5","37.5","29.2","12.5",".",".",".",".",".",".",".",".",".",".","."
"","004
204","16","2.875","18.8","43.8","12.5","6.3",".","6.3","12.5",".",".",".",".",".",".",".",".","."
"","204
005","25","3.320","28.0","36.0","16.0","12.0","8.0",".",".",".",".",".",".",".",".",".",".","."
"","006
204","19","3.088","21.1","21.1","26.3","5.3","10.5","5.3",".","10.5",".",".",".",".",".",".",".","."
"","204
008","21","2.905","4.8","28.6","28.6","28.6","4.8","4.8",".",".",".",".",".",".",".",".",".","."
"","204
010","23","3.283","8.7","39.1","52.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
011","22","3.200","22.7","36.4","9.1","9.1","9.1","4.5",".","9.1",".",".",".",".",".",".",".","."
"Fourth Semester French","Course Total","193","3.175","17.6","37.3","23.3","10.4","5.7","2.6","1.0","2.1",".",".",".",".",".",".",".","."
"","001
227","19","3.026","5.3","31.6","36.8","15.8","10.5",".",".",".",".",".",".",".",".",".",".","."
"","227
002","22","3.364","36.4","27.3","13.6","18.2","4.5",".",".",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 208 of 391",""
