"BOTANY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"208
BOTANY","","","","","","","","","","","","","","","","","","","",""
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","15","3.964","86.7","6.7",".",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"825
Ecological Methods","001","","13","3.577","69.2","23.1",".",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"941
Plant Taxonomy Journ Review","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"950
Seminar-Plant Ecology","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"960
Seminar-Plant Physiology","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"969
Colloq-Teachng College Biol","001","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990
Research-Phycology","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991
Research-Plant Anat/Morphol","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"993
Research-Mycology","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"994","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"994","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"994","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"994","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research-Plant Systematics","Course Total","","6","",".",".",".",".",".",".",".","66.7",".",".",".","33.3",".",".",".","."
"995","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"995","020","","7","",".",".",".",".",".",".",".","85.7",".",".",".","14.3",".",".",".","."
"995","024","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"995","042","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Research-Plant Ecology","Course Total","","16","",".",".",".",".",".",".",".","93.8",".",".",".","6.3",".",".",".","."
"996","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"996","015","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"996","025","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"996","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research-Plant Physiology","Course Total","","12","",".",".",".",".",".",".",".","83.3",".",".",".","16.7",".",".",".","."
"999","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Work","Course Total","","2","***","","","","","","","","","","","","","","","",""
