"CURRICULUM AND INSTRUCTIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","",""
"Practicum-Teaching Japanese","208
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practcm-Secondry Sch French","246
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Practcm-Secondry Sch German","247
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum in Latin","255
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Practm:Secondry Sch Spanish","256
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum-Secondary Sci Ed","290
001","","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Practm-Secondry Sch English","296
001","","13","",".",".",".",".",".",".",".",".",".","92.3",".",".",".",".",".","7.7"
"","305
001","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
002","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
003","","21","3.975","90.5","4.8",".",".",".",".",".",".",".",".",".",".",".","4.8",".","."
"Tchg Rdg & Other Lang Arts","Course Total","","70","3.993","97.1","1.4",".",".",".",".",".",".",".",".",".",".",".","1.4",".","."
"Methods-Teaching Japanese","308
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","322
001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322
002","","17","3.941","94.1",".","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322
003","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teachng Art:Pre-Middle Schl","Course Total","","51","3.980","98.0",".","2.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tchg Choral Music-Sec Schl","001
332","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tchg Gen Music-Elem School","333
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tchg Instrum Music-Elem","335
001","","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","337
001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","337
002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","337
003","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Teaching Music","Course Total","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching of French","346
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Teaching of German","347
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","354
001","","21","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","354
003","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tchg Music:Presch-Middl Sch","Course Total","","46","3.935","93.5",".","6.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching of Latin","355
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","356
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","356
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Teaching of Spanish","Course Total","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pract: Soc Studies-Sec Schl","358
001","","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Tchg of Hist & Other Soc St","359
001","","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Math-Sec Schl","361
001","","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","362
001","","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","362
003","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
004","","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","362
006","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Drama in Education","Course Total","","47","3.904","83.0","14.9","2.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","367
001","","21","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","","Page 82 of 391"
