"EDUCATIONAL POLICY STUDIES Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","","",""
"140
Introduction to Education","001","","25","3.820","68.0","28.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"300","001","","34","3.515","38.2","35.3","17.6","8.8",".",".",".",".",".",".",".",".",".",".",".","."
"300","002","","21","3.714","47.6","47.6","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"300","003","","22","3.500","18.2","63.6","9.1","4.5",".",".",".",".",".",".",".",".",".",".",".","4.5"
"300","004","","20","3.750","70.0","15.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"300","005","","33","3.375","18.2","42.4","30.3","6.1",".",".",".","3.0",".",".",".",".",".",".",".","."
"300","006","","29","3.345","17.2","48.3","20.7","13.8",".",".",".",".",".",".",".",".",".",".",".","."
"School and Society","Course Total","","159","3.510","32.7","42.1","17.0","6.9",".",".",".","0.6",".",".",".",".",".",".",".","0.6"
"340
Comparative Education","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","3","***","","","","","","","","","","","","","","","",""
"412
History-American Education","001","","75","3.569","40.0","34.7","18.7",".","2.7",".",".",".",".",".",".",".","4.0",".",".","."
"475
Educ & Jewish Civilization","001","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"478
Compar Hist-Chldhood&Adoles","001","","7","2.833","14.3","28.6","28.6",".",".",".","14.3","14.3",".",".",".",".",".",".",".","."
"505
Issues in Urban Education","001","","29","3.518","41.4","31.0","17.2",".","6.9",".",".",".",".",".",".",".","3.4",".",".","."
"539
Public Sector Bargaining","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"540
Modern Philosophies of Ed","001","","14","3.542","42.9","14.3","21.4","7.1",".",".",".","14.3",".",".",".",".",".",".",".","."
"560
Gender and Education","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"600
Problems in Educ Pol","001","","12","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"701
Intro to Ed Policy Studies","001","","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"736
The Sociology of Teaching","001","","12","3.583","16.7","83.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"855
Issues-Elementary Education","001","","11","3.950","81.8","9.1",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"906
Prosem-History of Education","001","","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"908
Smr-Sociology of Education","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"920
Education and Public Policy","001","","9","3.857","55.6","22.2",".",".",".",".",".",".",".",".",".",".","22.2",".",".","."
"990","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","066","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","073","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","29","",".",".",".",".",".",".",".","72.4","3.4",".",".","13.8",".",".","10.3","."
"999","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","","Page 91 of 391"
