"ENGLISH","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","",""
"","100
047","16","3.406","25.0","43.8","18.8","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","100
048","17","3.294","5.9","58.8","23.5","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"","100
049","17","2.941","5.9","17.6","41.2","29.4","5.9",".",".",".",".",".",".",".",".",".",".","."
"","100
050","19","3.474","42.1","42.1","10.5",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"Freshman Composition","Course Total","912","3.253","25.4","28.6","28.4","10.9","4.3","1.1","0.9",".",".",".",".",".",".",".",".","0.4"
"","110
001","13","",".",".",".",".",".",".",".",".",".","92.3",".",".",".",".",".","7.7"
"","110
002","13","",".",".",".",".",".",".",".",".",".","92.3","7.7",".",".",".",".","."
"","110
003","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Intensv English as 2nd Lang","Course Total","35","",".",".",".",".",".",".",".",".",".","94.3","2.9",".",".",".",".","2.9"
"ESL:Intmed Engl Lang Skills","114
001","18","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","115
001","15","",".",".",".",".",".",".",".",".",".","93.3","6.7",".",".",".",".","."
"","115
002","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"ESL: Grammar-Academic Use","Course Total","27","",".",".",".",".",".",".",".",".",".","96.3","3.7",".",".",".",".","."
"","001
116","16","",".",".",".",".",".",".",".",".",".","93.8","6.3",".",".",".",".","."
"","116
002","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","116
003","18","",".",".",".",".",".",".",".",".",".","94.4",".",".",".",".",".","5.6"
"","116
004","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"ESL:Academc Readng&Vocablry","Course Total","66","",".",".",".",".",".",".",".",".",".","97.0","1.5",".",".",".",".","1.5"
"","117
001","14","",".",".",".",".",".",".",".",".",".","92.9","7.1",".",".",".",".","."
"","117
002","14","",".",".",".",".",".",".",".",".",".","92.9","7.1",".",".",".",".","."
"","117
003","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
004","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
005","14","",".",".",".",".",".",".",".",".",".","92.9","7.1",".",".",".",".","."
"","117
006","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
007","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"ESL: Academic Writing I","Course Total","101","",".",".",".",".",".",".",".",".",".","97.0","3.0",".",".",".",".","."
"","001
118","17","3.706","52.9","35.3","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","118
002","16","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","118
003","15","3.867","80.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","118
004","15","3.233","20.0","33.3","26.7","13.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"","005
118","14","3.821","64.3","35.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","118
006","17","3.265","47.1","23.5","5.9","5.9","11.8",".","5.9",".",".",".",".",".",".",".",".","."
"","118
007","15","3.300","40.0","33.3","6.7","13.3",".",".","6.7",".",".",".",".",".",".",".",".","."
"","118
008","15","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"ESL: Academic Writing II","Course Total","124","3.565","50.8","29.8","11.3","4.0","2.4",".","1.6",".",".",".",".",".",".",".",".","."
"","122
001","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","122
002","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","122
003","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","122
004","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"ESL:Oral Communicatn Skills","Course Total","53","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Myth and Literature","155
001","253","3.095","23.7","21.3","25.3","13.0","10.7","2.8","0.8","1.2",".",".",".",".",".","0.4","0.8","."
"Shakespeare","162
001","304","3.104","10.2","30.6","41.4","11.8","3.9","0.7","1.3",".",".",".",".",".",".",".",".","."
"","167
001","335","3.171","18.2","33.1","28.4","12.2","4.8","1.2","1.5",".",".",".",".",".",".","0.3","0.3","."
"","167
002","219","3.163","11.0","29.7","46.1","6.4","6.4",".",".",".",".",".",".",".","0.5",".",".","."
