"","CURRICULUM AND INSTRUCTIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","","",""
"","699","092","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","095","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","188","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","","Course Total","","31","3.931","93.5",".","6.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Analys-Computers in Curric","701","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Curriculum Planning","704","001","","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"Cultr, Curriculm & Learning","711","001","","12","3.900","75.0",".","8.3",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Research & Eval Paradigms","714","001","","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Design of Rsch in Curric","715","001","","12","4.000","75.0",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","8.3"
"Perspectvs-Multicultrl Educ","744","001","","24","4.000","95.8",".",".",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"Adult Learner:Implictn for C&I","746","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Iss-Ed Communication Tech","800","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Goals,Content&Progm-Math Ed","810","001","","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Curricular Issues-Math Ed","812","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prosmr-Amer Curric Theory","829","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Theory & Dsgn of the Curric","830","001","","22","3.824","50.0","27.3",".",".",".",".",".",".",".",".",".",".","22.7",".",".","."
"Teachng Conceptl Change-Sci","832","001","","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fld-School Reading Programs","840","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Issues-Elementary Education","855","001","","13","3.846","69.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","860","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","860","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","860","860","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Supervisn-Teacher Education","","Course Total","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".","14.3",".",".",".","."
"","916","001","","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"","916","002","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","916","003","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","916","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Spec Topics:Rsch&Eval-C&I","","Course Total","","38","3.986","94.7","2.6",".",".",".",".",".",".",".",".",".",".","2.6",".",".","."
"Smr-Rsch on Math Education","942","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Past Perspectives-Music Educ","946","001","","12","3.636","83.3",".",".",".",".",".","8.3",".",".",".",".",".",".",".","8.3","."
"Pre&In-Service Ed-Teachers","950","001","","14","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Seminar-Science Education","960","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Reading","976","003","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","006","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","017","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","032","","9","",".",".",".",".",".",".",".","22.2",".",".",".","77.8",".",".",".","."
"","990","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","047","","8","",".",".",".",".",".",".",".","25.0",".",".",".","75.0",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","","","Page 86 of 391"
