"RADIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"832
RADIOL","","","","","","","","","","","","","","","","","","","",""
"919","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","2","***","","","","","","","","","","","","","","","",""
"920","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"920","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"920","003","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"920","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"920","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","007","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"920","009","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","012","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"920","041","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"920","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","043","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"920","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Diagnostic Radiol Clerk-CSC","Course Total","","56","4.000","92.9",".",".",".",".",".",".",".",".",".",".",".",".",".",".","7.1"
"923
Clin Nuclr Med Clerk-CSC/VA","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"924","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"924","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"924","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Gen Radiol Clerk-St Lukes","Course Total","","4","***","","","","","","","","","","","","","","","",""
