"GEOLOGY & GEOPHYSICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"420
GEOLOGY","","","","","","","","","","","","","","","","","","","",""
"100","001","","123","3.017","23.6","23.6","18.7","13.8","10.6","3.3","3.3","1.6",".",".",".",".",".","1.6",".","."
"100","002","","112","2.759","15.2","12.5","28.6","16.1","20.5","4.5","2.7",".",".",".",".",".",".",".",".","."
"General Geology","Course Total","","235","2.892","19.6","18.3","23.4","14.9","15.3","3.8","3.0","0.9",".",".",".",".",".","0.9",".","."
"101
General Geology","001","","125","2.588","16.8","6.4","26.4","4.0","36.0","8.0","2.4",".",".",".",".",".",".",".",".","."
"102","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"102","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"102","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Elementary Geology Lab","Course Total","","4","***","","","","","","","","","","","","","","","",""
"105
Survey of Oceanography","001","","25","3.017","20.0","20.0","28.0","4.0","28.0",".",".",".",".",".",".",".",".",".",".","."
"106
Environmental Geology","001","","95","2.602","11.6","5.3","33.7","15.8","22.1","5.3","4.2","1.1","1.1",".",".",".",".",".",".","."
"107
Life of the Past","001","","54","3.204","37.0","11.1","22.2","14.8","14.8",".",".",".",".",".",".",".",".",".",".","."
"109
Geology of National Parks","001","","76","2.715","9.2","14.5","27.6","10.5","27.6","5.3",".","5.3",".",".",".",".",".",".",".","."
"110","001","","201","2.553","11.9","0.5","41.8","1.0","32.8","8.5","2.0","0.5",".",".",".",".","0.5",".",".","0.5"
"110","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Evolution and Extinction","Course Total","","202","2.560","12.4","0.5","41.6","1.0","32.7","8.4","2.0","0.5",".",".",".",".","0.5",".",".","0.5"
"198","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"198","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"202","001","","56","2.911","19.6","8.9","35.7","12.5","21.4",".","1.8",".",".",".",".",".",".",".",".","."
"202","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Geologic Structures","Course Total","","57","2.911","19.3","8.8","35.1","12.3","21.1",".","1.8",".",".",".",".",".",".",".",".","1.8"
"302
Physics&Chem-Earth's Interior","001","","10","3.200","40.0",".","40.0",".","20.0",".",".",".",".",".",".",".",".",".",".","."
"303
Fluids & Sedimentary Processes","001","","20","2.700","5.0","10.0","55.0",".","20.0","10.0",".",".",".",".",".",".",".",".",".","."
"306
Gems and Precious Stones","001","","381","2.965","12.3","17.8","39.1","13.6","9.7","1.3","2.1","3.4",".",".",".",".",".",".",".","0.5"
"320
Geomorphology","001","","21","3.095","19.0","19.0","38.1","9.5","14.3",".",".",".",".",".",".",".",".",".",".","."
"376
Topics in Geology","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"411
Energy Resources","001","","9","2.833",".","11.1","66.7",".","22.2",".",".",".",".",".",".",".",".",".",".","."
"515
Principles-Econ Geology","001","","7","3.357","42.9","14.3","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"527
The Quaternary Period","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"533
Resources From Space","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"594
Intro to Applied Geophysics","001","","12","3.292","25.0","33.3","25.0","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"627
Hydrogeology","001","","19","2.816","26.3","15.8","21.1","10.5","15.8",".","10.5",".",".",".",".",".",".",".",".","."
"681
Senior Honors Thesis","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"691","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","6","3.813","66.7",".","16.7",".",".",".",".",".",".",".",".","16.7",".",".",".","."
"692","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
