"INTERDIS COURSES (SOHE)","Section","#","","Ave","A","AB","B","","BC","C","","D","","F","S","","U","","CR","N","P","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"498
INTER-HE","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Alcohol: Behav, Culture & Sci","111
001","","23","2.833","4.3","21.7","21.7","","26.1","17.4","","",".",".","8.7","",".","",".",".",".",".","",".",".","."
"Crit Perspectvs-Human Ecol","150
001","","26","3.154","11.5","23.1","50.0","","15.4","",".","",".",".",".","",".","",".",".",".",".","",".",".","."
"","299
004","","2","***","","","","","","","","","","","","","","",".",".",".",".","",".",".","."
"","299
004","","1","***","","","","","","","","","","","","","","",".",".",".",".","",".",".","."
"","299
004","","13","3.633","84.6",".","",".","7.7","",".","",".","7.7",".","",".","",".",".",".",".","",".",".","."
"","Section Total","","16","3.694","87.5",".","",".","6.3","",".","",".","6.3","",".","",".",".",".",".","",".",".",".","."
"","299
069","","5","***","","","","","","","","","","","","","","",".",".",".",".","",".",".","."
"Independent Study","Course Total","","21","3.761","90.5",".","",".","4.8","",".","",".","4.8","",".","",".",".",".",".","",".",".",".","."
"Community Iss & Serv Learng","350
001","","22","3.364","45.5","9.1","27.3","","9.1","9.1","","",".",".",".","",".","",".",".",".",".","",".",".","."
"Special Topics","375
001","","10","3.400","20.0","40.0","40.0","",".","",".","",".",".",".","",".","",".",".",".",".","",".",".","."
"","399
002","","1","***","","","","","","","","","","","","","","",".",".",".",".","",".",".","."
"","399
069","","1","***","","","","","","","","","","","","","","",".",".",".",".","",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","2","***","","","","","","","","","","","","","","","","","","","","","",""
"Prgm Planning-Fam&Consmr Ed","001
428","","21","3.571","61.9","19.0","14.3","",".","",".","",".","4.8",".","",".","",".",".",".",".","",".",".","."
"Stdt Teach-Fam & Consumer Educ","430
001","","2","***","","","","","","","","","","","","","","",".",".",".",".","",".",".","."
"INTER-HE
498","Dept. Total","","127","3.348","40.2","17.3","","24.4","10.2","","4.7","",".","1.6","","1.6","",".",".",".",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","","BC","C","","D","","F","S","","U","","CR","N","P","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"498
INTER-HE","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","1","4.000","100.0",".","",".",".","",".","",".",".","",".","",".",".",".",".","",".",".",".","."
"Senior","","","14","3.780","57.1","42.9","",".",".","",".","",".",".","",".","",".",".",".",".","",".",".",".","."
"Undergraduates","","","15","3.795","60.0","40.0","",".",".","",".","",".",".","",".","",".",".",".",".","",".",".",".","."
"Special","","","1","4.000","100.0",".","",".",".","",".","",".",".","",".","",".",".",".",".","",".",".",".","."
"Graduate","","","7","3.786","85.7",".","",".","14.3","",".","",".",".","",".","",".",".",".",".","",".",".",".","."
"","Dept. Total","","23","3.801","69.6","26.1","",".","4.3","",".","",".",".","",".","",".",".",".",".","",".",".",".","."
