"","890
004","1","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","890
011","1","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","890
014","1","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Individual Research Thesis","Course Total","4","***","","","","","","","","","","","","","","","","","","","","",""
"LATIN
524","Dept. Total","234","3.361","46.2","21.8","10.3","6.0","7.3","3.8","","0.9","3.0","",".",".","",".","",".","",".","0.4","0.4","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"524
LATIN","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","22","3.545","54.5","22.7","13.6","4.5",".","4.5","",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","29","3.293","31.0","24.1","20.7","20.7","3.4",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","26","3.180","42.3","11.5","19.2","11.5","7.7","7.7","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","49","3.302","44.9","12.2","18.4","12.2","12.2",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","126","3.320","42.9","16.7","18.3","12.7","7.1","2.4","",".",".","",".",".","",".","",".","",".",".",".","."
"Special","","8","3.932","75.0","12.5",".",".",".",".","",".","12.5","",".",".","",".","",".","",".",".",".","."
"Graduate","","29","3.780","62.1","13.8","6.9","3.4",".",".","",".","13.8","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","163","3.402","47.9","16.0","15.3","10.4","5.5","1.8","",".","3.1","",".",".","",".","",".","",".",".",".","."
