"EDUCATIONAL PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"315
ED PSYCH","","","","","","","","","","","","","","","","","","",""
"","301
001","100","3.362","25.0","37.0","26.0","8.0","1.0",".","1.0","1.0",".",".",".",".",".","1.0",".","."
"","301
002","113","3.295","25.7","35.4","20.4","11.5","1.8","0.9","1.8","2.7",".",".",".",".",".",".",".","."
"Human Abilities & Learning","Course Total","213","3.327","25.4","36.2","23.0","9.9","1.4","0.5","1.4","1.9",".",".",".",".",".","0.5",".","."
"","001
320","195","2.951","10.3","27.2","27.2","21.5","9.2","3.6","0.5",".",".",".",".",".",".",".",".","0.5"
"","320
002","108","3.583","67.6","5.6","13.9","5.6","6.5",".","0.9",".",".",".",".",".",".",".",".","."
"Human Dev-Infancy&Childhood","Course Total","303","3.177","30.7","19.5","22.4","15.8","8.3","2.3","0.7",".",".",".",".",".",".",".",".","0.3"
"Human Develop-Adolescence","321
001","191","3.685","53.4","34.0","7.9",".","0.5","1.6",".","2.1",".",".",".",".",".",".",".","0.5"
"Hum Devel Chldhood-Adolescn","331
001","50","3.730","56.0","34.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","521
001","63","3.571","47.6","33.3","12.7","4.8",".",".","1.6",".",".",".",".",".",".",".",".","."
"","521
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adolscnt Develp-Educ Contxt","Course Total","64","3.571","46.9","32.8","12.5","4.7",".",".","1.6",".",".",".",".",".",".",".",".","1.6"
"Intro to Prof School Psych","540
001","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Appl Behav Anal in Classrms","541
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Found of Ed Measurement","570
001","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
008","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
039","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Reading-Undergrad","Course Total","5","***","","","","","","","","","","","","","","","",""
"Smr-Research in Ed Psych I","709
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
001","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
002","34","3.887","70.6","20.6",".",".",".",".",".","2.9",".",".",".",".","5.9",".",".","."
"","711
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","711
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","711
006","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Topics-Ed Psych","Course Total","67","3.917","83.6","11.9",".",".",".",".",".","1.5",".",".",".",".","3.0",".",".","."
"Theory & Issues-Human Dev","725
001","12","3.591","41.7","25.0","25.0",".",".",".",".",".",".",".",".",".",".","8.3",".","."
"Assessment Tech-Schools II","741
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","001
760","37","3.625","45.9","29.7","21.6",".",".",".",".",".",".",".",".",".","2.7",".",".","."
"","760
002","26","3.520","34.6","30.8","30.8",".",".",".",".","3.8",".",".",".",".",".",".",".","."
"Stat Meth Appl to Educ I","Course Total","63","3.582","41.3","30.2","25.4",".",".",".",".","1.6",".",".",".",".","1.6",".",".","."
"Intro: Dsgn-Ed Experiments","762
001","27","3.722","59.3","25.9","14.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cognition&Classrm Learng I","795
001","17","3.941","94.1",".","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
002","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Pract-School Psych","Course Total","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chld&Adoles Psychpathl/Schl","844
001","17","3.941","94.1",".","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Anal & Design-Ed Rsch","861
001","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Test Theory I","870
001","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thry:Comp-Based Instruc Sys","890
001","7","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Internshp-School Psychology","943
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr in School Psychology","948
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
008","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
013","4","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 93 of 391"
