"SURGERY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"936
SURGERY","","","","","","","","","","","","","","","","","","","",""
"699
Independent Study","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"812","081","","27","3.288","14.8","29.6","48.1","3.7",".",".",".",".","3.7",".",".",".",".",".",".","."
"812","082","","24","3.396","20.8","37.5","41.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","083","","24","3.396","20.8","41.7","33.3","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Third Year Surgery","Course Total","","75","3.358","18.7","36.0","41.3","2.7",".",".",".",".","1.3",".",".",".",".",".",".","."
"910","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Rdg & Rsch-4th Yr Med","Course Total","","2","***","","","","","","","","","","","","","","","",""
"919","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"919","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","044","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"919","045","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"919","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","15","3.745","46.7","40.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","6.7"
"920","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Gen Surgery Clerkship-CSC","Course Total","","8","4.000","62.5",".",".",".",".",".",".",".",".",".",".",".",".",".",".","37.5"
"921","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"921","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Gen Surg Clerkship-Meriter","Course Total","","10","3.625","30.0","60.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"923","045","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"923","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Gen Surg Clrkshp-St Mary's","Course Total","","4","***","","","","","","","","","","","","","","","",""
"924","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"924","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"924","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"924","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"924","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"924","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Gen Surg Clerkship-LaCrosse","Course Total","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"935","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 366 of 391",""
