"THEATRE AND DRAMA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","",""
"Introduction-Dramatic Arts","120
001","314","3.430","34.4","38.5","18.2","3.5","2.9","0.6","1.3","0.6",".",".",".",".",".",".",".","."
"","140
002","18","3.750","77.8","16.7",".",".",".","5.6",".",".",".",".",".",".",".",".",".","."
"","140
003","17","3.853","82.4","5.9","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Voice Training","Course Total","35","3.800","80.0","11.4","5.7",".",".","2.9",".",".",".",".",".",".",".",".",".","."
"","150
003","18","3.941","83.3","11.1",".",".",".",".",".",".",".",".",".",".",".","5.6",".","."
"","150
004","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
005","17","3.824","64.7","35.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
006","16","4.000","93.8",".",".",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"","150
007","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","010
150","17","3.941","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","012
150","17","3.563","41.2","35.3","5.9","11.8",".",".",".",".",".",".",".",".",".","5.9",".","."
"","150
013","18","3.361","66.7","5.6",".","11.1","11.1",".","5.6",".",".",".",".",".",".",".",".","."
"Introduction to Acting","Course Total","137","3.825","79.6","12.4","0.7","2.9","1.5",".","0.7","0.7",".",".",".",".",".","1.5",".","."
"","161
001","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","161
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
003","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","161
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
005","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
006","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
007","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","161
008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
009","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Backstage Laboratory I","Course Total","41","3.939","90.2","7.3","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fund-Stage Mkup&Hair Technique","163
002","13","3.500","38.5","30.8","7.7","15.4",".",".",".","7.7",".",".",".",".",".",".",".","."
"Fundamentals of Stagecraft","170
001","24","3.333","20.8","33.3","29.2","12.5",".",".",".",".",".",".",".",".",".",".",".","4.2"
"Writing-Theatre&Performance","200
001","20","3.684","60.0","15.0","15.0","5.0",".",".",".",".",".",".",".",".","5.0",".",".","."
"Wrld Theatre & Drama to 18c","001
221","46","3.156","19.6","28.3","30.4","6.5","10.9","2.2",".",".",".",".",".",".",".","2.2",".","."
"","250
001","17","3.794","70.6","17.6","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
250","13","3.846","92.3",".",".",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Acting","Course Total","30","3.817","80.0","10.0","6.7",".","3.3",".",".",".",".",".",".",".",".",".",".","."
"Intro-Africn-Amer Performnc","329
001","23","3.720","82.6",".","4.3",".","4.3",".","4.3","4.3",".",".",".",".",".",".",".","."
"Trans:20C Scand Drama&Film","333
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"In Trans:Drama-A Strindberg","336
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Fundamentals-Movemnt for Stage","342
002","10","3.650","60.0","10.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Acting Realism","350
001","19","3.868","84.2","10.5",".","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Fund-Asian Stage Discipline","351
001","14","3.923","78.6","14.3",".",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"Javanese Performance","353
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Backstage Laboratory II","361
001","17","3.909","82.4",".","11.8",".",".",".",".",".",".",".",".",".",".","5.9",".","."
"","362
001","7","3.571","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
002","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","362
004","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","362
005","5","***","","","","","","","","","",".",".",".",".",".",".","."
