"FRENCH (FRENCH AND ITALIAN) Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","","",""
"","227
003","","17","3.594","35.3","41.2","17.6",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"","004
227","","12","3.417","33.3","25.0","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intermed Language & Culture","Course Total","","70","3.333","27.1","31.4","24.3","11.4","4.3",".",".","1.4",".",".",".",".",".",".",".","."
"","228
001","","20","3.400","40.0","20.0","20.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","002
228","","12","3.575","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","228
003","","18","3.402","16.7","66.7",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","228
004","","9","3.732","66.7","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Intermed Language & Culture","Course Total","","59","3.480","35.6","40.7","10.2","11.9","1.7",".",".",".",".",".",".",".",".",".",".","."
"","271
001","","14","3.464","42.9","50.0",".",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"","002
271","","14","3.679","42.9","50.0","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
003","","14","3.607","50.0","28.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","271
004","","19","3.605","36.8","47.4","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Literary Analysis","Course Total","","61","3.590","42.6","44.3","9.8","1.6",".",".","1.6",".",".",".",".",".",".",".",".","."
"3rd Sem French-Honors","283
001","","12","3.636","50.0","33.3",".",".","8.3",".",".","8.3",".",".",".",".",".",".",".","."
"4th Sem French-Honors","284
001","","14","3.464","21.4","57.1","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Intermed Lang&Cultr-Honors","287
001","","13","3.615","61.5","15.4","15.4",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","299
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practical French Converstn","301
001","","36","3.929","91.7","2.8",".",".","2.8",".",".","2.8",".",".",".",".",".",".",".","."
"","311
001","","13","3.613","61.5","15.4",".",".","15.4",".",".","7.7",".",".",".",".",".",".",".","."
"","002
311","","7","3.435","14.3","57.1","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Avance express orale&ecrite","Course Total","","20","3.548","45.0","30.0","10.0",".","10.0",".",".","5.0",".",".",".",".",".",".",".","."
"Intro to Business French","313
001","","15","3.618","40.0","33.3","20.0",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"","001
321","","13","3.686","69.2","7.7","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
321","","17","3.778","52.9","47.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Middle Ages to Revol","Course Total","","30","3.741","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322
001","","16","3.660","56.3","18.8","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322
002","","19","3.695","47.4","42.1","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro French Lit-19 & 20 C","Course Total","","35","3.679","51.4","31.4","17.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","347
001","","24","3.585","41.7","33.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","347
002","","9","3.345","55.6",".","33.3",".",".","11.1",".",".",".",".",".",".",".",".",".","."
"Civ Franc:orig au 18e siecl","Course Total","","33","3.523","45.5","24.2","27.3",".",".","3.0",".",".",".",".",".",".",".",".",".","."
"Civ France:Revolutn-contemp","348
001","","18","3.713","61.1","27.8","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"French-Reading Knowledge","391
001","","22","3.632","45.5","18.2","22.7",".",".",".",".","13.6",".",".",".",".",".",".",".","."
"French Lit-Classical Age","431
001","","8","3.714","62.5","25.0",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Questions de Civ Francaise","449
000A","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in French Literature","462
001","","8","3.571","25.0","62.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tech Expressn Ecirt&Oral II","524
001","","12","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Smr-Fr Civ&Cultr","531
001","","10","3.406","20.0","20.0",".",".","10.0",".",".","50.0",".",".",".",".",".",".",".","."
"Undergrad Smr-Fr Civ&Cultr","532
001","","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"French Phonetics","590
001","","16","3.375","31.3","37.5","12.5","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"Crit Approach to French Lit","626
001","","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Le Roman Francais 1850-1900","636
001","","14","3.875","64.3","21.4",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
