"MICROBIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"192
MICROBIO","","","","","","","","","","","","","","","","","","",""
"General Microbiology","101
001","94","2.926","20.2","17.0","26.6","12.8","18.1","4.3","1.1",".",".",".",".",".",".",".",".","."
"","102
001","28","3.125","17.9","25.0","32.1","14.3","10.7",".",".",".",".",".",".",".",".",".",".","."
"","102
002","39","3.295","20.5","28.2","43.6","5.1","2.6",".",".",".",".",".",".",".",".",".",".","."
"General Microbiology Lab","Course Total","67","3.224","19.4","26.9","38.8","9.0","6.0",".",".",".",".",".",".",".",".",".",".","."
"","299
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
053","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
073","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","3","***","","","","","","","","","","","","","","","",""
"Procaryotic Microbiology","001
303","238","2.820","12.6","13.0","26.1","25.2","20.6","1.3","0.4","0.8",".",".",".",".",".",".",".","."
"","001
304","32","2.922","6.3","15.6","53.1","12.5","9.4","3.1",".",".",".",".",".",".",".",".",".","."
"","304
002","39","3.342","23.1","20.5","53.8",".",".",".",".",".",".",".",".",".",".",".",".","2.6"
"","304
003","36","3.153","19.4","11.1","61.1","2.8","2.8","2.8",".",".",".",".",".",".",".",".",".","."
"Procaryotic Microbiol Lab","Course Total","107","3.151","16.8","15.9","56.1","4.7","3.7","1.9",".",".",".",".",".",".",".",".",".","0.9"
"Food Bacteriology Lab","001
324","18","3.361","33.3","22.2","27.8","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Food Bacteriology","325
001","55","3.591","52.7","30.9","10.9",".","3.6",".","1.8",".",".",".",".",".",".",".",".","."
"Bacterial Genetics","370
001","41","3.167","9.8","31.7","39.0","9.8","4.9",".",".",".",".",".",".",".",".",".","4.9","."
"Physiol of Microorganisms","526
001","79","3.335","34.2","24.1","22.8","12.7","6.3",".",".",".",".",".",".",".",".",".",".","."
"","527
001","10","3.200","30.0","10.0","40.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","002
527","18","3.306","22.2","22.2","50.0","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","003
527","18","3.111","33.3","22.2","22.2",".","11.1","11.1",".",".",".",".",".",".",".",".",".","."
"","527
004","21","3.095","38.1","4.8","28.6","4.8","19.0","4.8",".",".",".",".",".",".",".",".",".","."
"Physiol-Microorganisms Lab","Course Total","67","3.172","31.3","14.9","34.3","4.5","10.4","4.5",".",".",".",".",".",".",".",".",".","."
"Immunology","001
528","49","2.378","6.1","6.1","32.7","4.1","36.7","10.2","4.1",".",".",".",".",".",".",".",".","."
"Advanced Microbial Genetics","607
001","28","3.259","10.7","35.7","42.9","7.1",".",".",".","3.6",".",".",".",".",".",".",".","."
"Prokaryotic Molecular Biol","612
001","27","3.173","37.0","3.7","33.3",".","22.2",".",".",".",".",".",".",".",".","3.7",".","."
"Gen Virology-Multiplication","640
001","21","3.075","19.0","14.3","38.1","9.5","14.3",".",".","4.8",".",".",".",".",".",".",".","."
"Trends in Food Safety","670
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","691
058","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
013","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
049","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
057","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
066","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
072","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
073","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
076","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","19","3.721","84.2",".",".",".",".",".","5.3",".",".",".",".",".","5.3",".","5.3","."
"Seminar","731
001","43","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
