"CLINICAL LABORATORY SCIEN","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"628
CLNLABSC","","","","","","","","","","","","","","","","","","",""
"Intro to Clinical Lab Science","102
001","54","3.548","57.4","16.7","9.3",".","13.0",".",".",".",".",".",".",".",".",".","3.7","."
"Clinical Hematology I","515
001","27","3.093","18.5","22.2","33.3","18.5","3.7","3.7",".",".",".",".",".",".",".",".",".","."
"Clinical Chemistry I","525
001","13","2.923","7.7","7.7","61.5","7.7","15.4",".",".",".",".",".",".",".",".",".",".","."
"Lab Diagnos-Infect Disease I","535
001","24","2.688","8.3","16.7","37.5","12.5","12.5","8.3","4.2",".",".",".",".",".",".",".",".","."
"Clinical Immunohematology","550
001","14","2.821","14.3","14.3","21.4","21.4","28.6",".",".",".",".",".",".",".",".",".",".","."
"Clin Immunol & Applied Tech","560
001","16","3.094","12.5","37.5","25.0","6.3","18.8",".",".",".",".",".",".",".",".",".",".","."
"","575
001","8","3.688","75.0",".","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","002
575","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","575
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","575
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","575
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinical Lab Science Practicum","Course Total","20","3.828","80.0","5.0","5.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Management Seminar","001
620","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","699
027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"CLNLABSC
628","Dept. Total","183","3.125","39.3","16.4","21.3","8.2","10.9","1.6","0.5","0.5",".",".",".",".",".",".","1.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"628
CLNLABSC","","","","","","","","","","","","","","","","","","",""
"Sophomore","","4","2.750",".",".","75.0",".","25.0",".",".",".",".",".",".",".",".",".",".","."
"Junior","","26","3.365","26.9","26.9","34.6","7.7","3.8",".",".",".",".",".",".",".",".",".",".","."
"Senior","","134","3.348","47.8","9.0","32.1","5.2","6.0",".",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","164","3.338","43.3","11.6","33.5","5.5","6.1",".",".",".",".",".",".",".",".",".",".","."
"Special","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","165","3.343","43.6","11.5","33.3","5.5","6.1",".",".",".",".",".",".",".",".",".",".","."
