"ANTHROPOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"156
ANTHRO","","","","","","","","","","","","","","","","","","","",""
"699","068","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","10","3.940","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900
Fund Anthropological Theory","001","","13","3.875","69.2","23.1",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"909
Resch Meth&Dsgn-Cult Anthro","001","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"940
Smr:Probs-Cultural Anthro","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"942
Smr-Archaeological Problems","001","","10","3.150","10.0","40.0","20.0","30.0",".",".",".",".",".",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","027","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","7","",".",".",".",".",".",".",".","28.6",".",".",".","71.4",".",".",".","."
"990","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","050","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","058","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","062","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","066","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","068","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","55","",".",".",".",".",".",".",".","76.4",".",".",".","23.6",".",".",".","."
"999","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","062","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","069","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading and Research","Course Total","","10","4.000","70.0",".",".",".",".",".",".","20.0",".",".",".","10.0",".",".",".","."
