"TERM : 1022","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 2001-2002","","","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","",""
"","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","",""
"NEUROSCIENCE TRAINING PRO Section","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"682
NEUROSCI","","","","","","","","","","","","","","","","","","","","","","","",""
"NEUROSCI
Dept. Total
682","140","3.797","33.6","10.0","2.9",".","",".","",".","",".","41.4","",".","7.1","",".","3.6","",".","0.7","0.7","."
"Summary by Level","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"682
NEUROSCI","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","3","3.833","66.7","33.3",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Junior","3","3.875","66.7","33.3",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","22","3.636","50.0","31.8","13.6",".","",".","",".","",".","4.5","",".",".","",".",".","",".",".",".","."
"Undergraduates","28","3.661","53.6","32.1","10.7",".","",".","",".","",".","3.6","",".",".","",".",".","",".",".",".","."
"Special","1","",".",".",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"Graduate","77","3.808","20.8","7.8",".",".","",".","",".","",".","67.5","",".",".","",".","3.9","",".",".",".","."
"Dept. Total","106","3.734","29.2","14.2","2.8",".","",".","",".","",".","50.9","",".",".","",".","2.8","",".",".",".","."
