"GEOGRAPHY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","",""
"Intro to Cultural Geog","101","001","166","3.245","28.9","24.1","26.5","10.2","8.4","0.6","0.6",".",".",".",".",".",".","0.6",".","."
"","120","001","156","2.831","18.6","16.0","28.2","12.2","12.2","9.6","1.9",".",".",".",".",".",".","1.3",".","."
"","120","002","158","3.095","22.8","17.7","33.5","11.4","12.7","1.9",".",".",".",".",".",".",".",".",".","."
"Global Phys Environments","","Course Total","314","2.965","20.7","16.9","30.9","11.8","12.4","5.7","1.0",".",".",".",".",".",".","0.6",".","."
"Atmspherc Envirnmnt&Society","121","001","57","3.027","10.5","22.8","40.4","14.0","8.8","1.8",".","1.8",".",".",".",".",".",".",".","."
"","127","001","164","2.694","15.2","15.2","15.9","20.7","26.2","3.7","3.0",".",".",".",".",".",".",".",".","."
"","127","002","161","2.981","28.0","13.7","14.9","21.1","19.3","2.5","0.6",".",".",".",".",".",".",".",".","."
"","127","051","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Physical Systems of Envr","","Course Total","326","2.837","21.5","14.4","15.3","20.9","22.7","3.1","1.8","0.3",".",".",".",".",".",".",".","."
"Map Reading&Interpretation","170","001","35","2.956","17.1","28.6","11.4","25.7","8.6","2.9","2.9",".",".",".",".",".",".","2.9",".","."
"Soil: Ecosystem & Resource","230","001","8","2.750","25.0","12.5","25.0","12.5","12.5",".","12.5",".",".",".",".",".",".",".",".","."
"Plants and Man","240","001","22","2.792","13.6","4.5","40.9","4.5","22.7","4.5",".",".",".",".",".",".",".","4.5",".","4.5"
"SE Asia:Vietnam to Philipns","244","001","11","3.500","27.3","54.5","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","13","2.346",".","7.7","46.2",".","30.8","7.7","7.7",".",".",".",".",".",".",".",".","."
"Population-Migrat&Diffusion","300","001","44","3.238","18.2","34.1","29.5","6.8","9.1",".",".","2.3",".",".",".",".",".",".",".","."
"Econ Geog: Locational Behav","302","001","20","3.211","30.0","10.0","30.0","20.0","5.0",".",".","5.0",".",".",".",".",".",".",".","."
"Introduction to the City","305","001","41","2.713","12.2","7.3","24.4","24.4","26.8","2.4",".","2.4",".",".",".",".",".",".",".","."
"Regional Develop & Planning","312","001","30","3.268","23.3","26.7","26.7","10.0","6.7",".",".","3.3",".",".",".",".","3.3",".",".","."
"Geog,Politics&Territorialty","318","001","49","3.458","42.9","24.5","22.4","4.1","2.0",".","2.0","2.0",".",".",".",".",".",".",".","."
"Geomorphology","320","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Analysis of Physical Envr","325","001","9","3.444","33.3","22.2","44.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Our Hazardous Environment","336","001","49","2.968","14.3","14.3","40.8","12.2","10.2","4.1",".","2.0",".",".",".",".",".","2.0",".","."
"Vegetation:Stability&Change","338","001","28","3.692","39.3","50.0","3.6",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"","339","001","58","2.715","17.2","12.1","31.0","6.9","24.1","3.4","5.2",".",".",".",".",".",".",".",".","."
"","339","002","33","2.788","9.1","18.2","39.4","12.1","12.1","6.1","3.0",".",".",".",".",".",".",".",".","."
"Environmental Conservation","","Course Total","91","2.742","14.3","14.3","34.1","8.8","19.8","4.4","4.4",".",".",".",".",".",".",".",".","."
"Europe","349","001","63","3.290","34.9","22.2","22.2","12.7","3.2","1.6","1.6","1.6",".",".",".",".",".",".",".","."
"Quantitative Meth-Geog Anal","360","001","40","2.700","17.5","25.0","15.0","10.0","12.5","17.5","2.5",".",".",".",".",".",".",".",".","."
"Introduction to Cartography","370","001","39","3.197","28.2","28.2","20.5","5.1","10.3","5.1",".","2.6",".",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377","001","51","3.598","58.8","17.6","17.6",".","3.9","2.0",".",".",".",".",".",".",".",".",".","."
"Urban Spatial Patterns&Thry","505","001","11","3.409","27.3","36.4","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Ldscap&Settlmt-N Amer Past","508","001","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Quaternary Period","527","001","11","3.600","45.5","18.2","27.3",".",".",".",".",".",".",".",".",".",".","9.1",".","."
"Envr Geog&Cnsrv-Devlp Cntry","535","001","24","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prob-Geog of Latin America","548","001","18","3.528","55.6","5.6","33.3",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"Russia&CIS:Probs-Human Geog","553","001","10","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Geog-Asian Cities","558","001","15","3.267","46.7",".","46.7",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"Adv Quantitative Methods","560","001","20","3.575","40.0","35.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Colloq-Undergraduate Majors","565","001","19","3.079","21.1","21.1","31.6","5.3","21.1",".",".",".",".",".",".",".",".",".",".","."
"GIS and Spatial Analysis","579","001","15","3.300","40.0","13.3","26.7","6.7","13.3",".",".",".",".",".",".",".",".",".",".","."
"","602","032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 212 of 391",""
