"LIFE SCIENCES COMMUNICATIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"120
L SC COM","","","","","","","","","","","","","","","","","","","",""
"","100
001","","20","3.400","45.0","15.0","20.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","002
100","","18","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
003","","15","3.633","46.7","40.0","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100
004","","13","3.538","38.5","38.5","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","005
100","","13","3.808","76.9","7.7","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
006","","17","3.353","29.4","35.3","17.6","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"Intro Com: Inquiry&Expositn","Course Total","","96","3.536","43.8","31.3","15.6","7.3","2.1",".",".",".",".",".",".",".",".",".",".","."
"Sci&Technology Newswriting","111
001","","19","3.079","31.6","10.5","21.1","15.8","21.1",".",".",".",".",".",".",".",".",".",".","."
"Family & Consumer Newswrtg","130
001","","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reporting","204
001","","14","3.500","57.1","21.4","7.1","7.1",".","7.1",".",".",".",".",".",".",".",".",".","."
"","212
001","","20","3.632","70.0",".","15.0",".","10.0",".",".",".",".",".",".",".",".",".","5.0","."
"","212
003","","12","3.083","16.7","33.3","41.7",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"","212
005","","10","3.100","10.0","30.0","40.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Intro-Scientific Communication","Course Total","","42","3.341","40.5","16.7","28.6","2.4","7.1",".","2.4",".",".",".",".",".",".",".","2.4","."
"","299
012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
029","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
031","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","16","3.065","81.3","6.3",".",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"Feature Writing","001
320","","13","3.423","46.2","23.1","23.1",".",".","7.7",".",".",".",".",".",".",".",".",".","."
"Visualizing Sci & Technology","350
001","","15","3.867","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Information Radio","360
001","","19","3.763","52.6","47.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Info Retrieval-Ag&Life Sci","367
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","375
001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
375","","27","3.329","25.9","22.2","44.4","7.4",".",".",".",".",".",".",".",".",".",".",".","."
"","375
003","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","40","3.495","47.5","17.5","30.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","399
004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
035","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Investgtv Reportng","430
001","","15","3.233","20.0","33.3","26.7","13.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"Agricultural Advertising","431
001","","28","3.589","39.3","46.4","10.7",".","3.6",".",".",".",".",".",".",".",".",".",".","."
"Stdt Teaching in Agri-sci Educ","445
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Publications Editing","505
001","","14","3.286","28.6","14.3","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Pub Info Campaigns & Progms","515
001","","22","3.455","27.3","40.9","27.3","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","530
001","","21","3.548","28.6","57.1","9.5","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","530
002","","20","3.825","75.0","15.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Print&Electronic Media Dsgn","Course Total","","41","3.683","51.2","36.6","9.8","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"Intro: Non-Theatrical Film","615
001","","19","3.711","73.7","15.8",".",".","10.5",".",".",".",".",".",".",".",".",".",".","."
"Stat Tech in Comm Research","660
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","","Page 4 of 391"
