"PHYSICAL EDUC ACTIVITY PRO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","",""
"","134
006","19","3.867","57.9","21.1",".",".",".",".",".","15.8",".",".",".",".",".","5.3",".","."
"","134
007","21","3.361","23.8","23.8","28.6","9.5",".",".",".","9.5",".",".",".",".",".","4.8",".","."
"","134
008","28","3.353","10.7","25.0","21.4","3.6",".",".",".","32.1",".",".",".",".",".","7.1",".","."
"Relaxation Tech & Exercise","Course Total","140","3.585","36.4","22.1","12.1","3.6","1.4",".",".","19.3","0.7",".",".",".","0.7","3.6",".","."
"","001
138","14","3.833","42.9","21.4",".",".",".",".",".","35.7",".",".",".",".",".",".",".","."
"","138
002","12","3.833","50.0","25.0",".",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"","003
138","9","3.800","33.3","22.2",".",".",".",".",".","44.4",".",".",".",".",".",".",".","."
"","138
005","14","3.125",".","21.4","28.6","7.1",".",".",".","42.9",".",".",".",".",".",".",".","."
"","138
006","18","3.500","11.1","5.6",".","5.6",".",".",".","77.8",".",".",".",".",".",".",".","."
"Golf I","Course Total","67","3.629","25.4","17.9","6.0","3.0",".",".",".","47.8",".",".",".",".",".",".",".","."
"","140
002","25","3.735","44.0","16.0","4.0","4.0",".",".",".","32.0",".",".",".",".",".",".",".","."
"","140
003","22","3.632","45.5","27.3","9.1",".","4.5",".",".","13.6",".",".",".",".",".",".",".","."
"Ice Skating I","Course Total","47","3.681","44.7","21.3","6.4","2.1","2.1",".",".","23.4",".",".",".",".",".",".",".","."
"Ice Skating II","145
001","19","3.735","47.4","36.8","5.3",".",".",".",".","10.5",".",".",".",".",".",".",".","."
"","155
001","16","2.786","6.3","18.8","37.5","6.3","12.5",".","6.3","12.5",".",".",".",".",".",".",".","."
"","155
002","20","2.833",".","20.0","25.0","15.0","15.0",".",".","25.0",".",".",".",".",".",".",".","."
"Badminton I","Course Total","36","2.810","2.8","19.4","30.6","11.1","13.9",".","2.8","19.4",".",".",".",".",".",".",".","."
"","157
001","20","3.500","25.0","40.0","15.0","5.0",".",".",".","10.0","5.0",".",".",".",".",".",".","."
"","157
002","15","3.767","66.7","20.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","157
004","21","3.800","66.7","19.0","9.5",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"Topics in Fencing","Course Total","56","3.692","51.8","26.8","12.5","1.8",".",".",".","5.4","1.8",".",".",".",".",".",".","."
"","162
002","22","3.955","45.5","4.5",".",".",".",".",".","45.5",".",".",".",".",".","4.5",".","."
"","003
162","16","2.667","6.3","6.3",".","6.3","18.8",".",".","62.5",".",".",".",".",".",".",".","."
"","004
162","23","3.208","4.3","17.4","26.1","4.3",".",".",".","47.8",".",".",".",".",".",".",".","."
"","162
005","15","2.875",".",".","20.0","6.7",".",".",".","73.3",".",".",".",".",".",".",".","."
"Tennis I","Course Total","76","3.318","15.8","7.9","11.8","3.9","3.9",".",".","55.3",".",".",".",".",".","1.3",".","."
"","001
163","9","3.500","22.2","11.1","22.2",".",".",".",".","44.4",".",".",".",".",".",".",".","."
"","163
002","15","3.722","40.0","6.7","13.3",".",".",".",".","40.0",".",".",".",".",".",".",".","."
"","003
163","14","3.875","42.9","14.3",".",".",".",".",".","35.7",".",".",".",".",".","7.1",".","."
"Racquetball I","Course Total","38","3.727","36.8","10.5","10.5",".",".",".",".","39.5",".",".",".",".",".","2.6",".","."
"Basketball I","170
001","22","3.575","31.8","45.5","9.1","4.5",".",".",".","9.1",".",".",".",".",".",".",".","."
"Soccer I","173
001","23","3.475","34.8","39.1","8.7",".",".",".","4.3","13.0",".",".",".",".",".",".",".","."
"","175
001","26","3.474","30.8","15.4","23.1",".","3.8",".",".","26.9",".",".",".",".",".",".",".","."
"","002
175","29","3.640","37.9","34.5","13.8",".",".",".",".","13.8",".",".",".",".",".",".",".","."
"Volleyball I","Course Total","55","3.568","34.5","25.5","18.2",".","1.8",".",".","20.0",".",".",".",".",".",".",".","."
"Softball","179
001","21","3.667","42.9","47.6","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
201","16","3.200","6.3","37.5","37.5","12.5",".",".",".","6.3",".",".",".",".",".",".",".","."
"","201
002","17","3.821","58.8","17.6","5.9",".",".",".",".","17.6",".",".",".",".",".",".",".","."
"Intermediate Swimming","Course Total","33","3.500","33.3","27.3","21.2","6.1",".",".",".","12.1",".",".",".",".",".",".",".","."
"","211
001","17","3.794","58.8","41.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","211
002","20","3.722","45.0","40.0","5.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"","211
003","18","3.385","27.8","5.6","33.3","5.6",".",".",".","22.2",".",".",".",".",".","5.6",".","."
"Intro to Martial Arts","Course Total","55","3.656","43.6","29.1","12.7","1.8",".",".",".","10.9",".",".",".",".",".","1.8",".","."
"Weight Training II","232
001","19","3.333","10.5","36.8","26.3","5.3",".",".",".","21.1",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 96 of 391"
