"ED LEADERSHP & POLICY ANAL Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","","","",""
"Public School Adm-America","500","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","502","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","502","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","502","003","","24","4.000","95.8",".",".",".",".",".",".",".",".",".",".",".",".","4.2",".","."
"Workshop in Ed Admin","","Course Total","","26","4.000","92.3",".",".",".",".",".",".",".",".",".",".",".",".","7.7",".","."
"","700","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","700","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","700","020","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700","024","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","700","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","700","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Field Experience-Ed Admin","","Course Total","","16","3.938","93.8",".","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Higher & Post-Sec Ed","701","001","","25","3.848","68.0","20.0","4.0",".",".",".",".",".",".",".",".",".","8.0",".",".","."
"Intro-Elem & Sec Educ Admin","702","001","","25","3.938","84.0","12.0",".",".",".",".",".",".",".",".",".",".",".","4.0",".","."
"Leadership Dynamics","705","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","725","001","","20","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","725","002","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch Meth & Proc-Ed Admin","","Course Total","","37","3.946","89.2","10.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Program Develop-Cont Educ","730","001","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","735","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","735","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","735","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Serv&Divrsty-El/Scndry","","Course Total","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sch-Com Rel:Commun,Mrkt,Pol","770","001","","14","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Staff Personnel Sys in Ed","785","001","","14","3.846","64.3","28.6",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Leadershp & Coord-Cont&Tech Ed","811","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Technol in Cont & Higher Educ","814","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","820","001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","820","002","","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bus Adm of School Systems","","Course Total","","48","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fld Rsch Dsgn&Meth-Ed Admin","824","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Eval:Adm Decision Making-Ed","826","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal Aspcts-El & Scndry Ed","840","001","","15","3.857","66.7","26.7",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"Legal Aspects of Higher Ed","841","001","","11","3.900","72.7","18.2",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"The School Superintendency","846","001","","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Instr Leadershp&Schl Improv","847","001","","18","3.917","88.9","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Org Theory&Behavior in Educ","860","001","","25","3.960","92.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Politics of Education","870","001","","24","3.854","75.0","20.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory&Practice-Ed Planning","875","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internship in Ed Admin","900","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-College&Universitry Adm","915","001","","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr in Educational Admin","940","002","","17","4.000","94.1",".",".",".",".",".",".",".",".",".",".",".",".","5.9",".","."
