"HISTORY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"Amer Hist to Civil War Era","101","001","140","3.464","35.7","36.4","19.3","5.0","2.1","1.4",".",".",".",".",".",".",".",".",".","."
"","102","001","213","3.237","21.6","31.9","30.5","7.0","4.7","0.9","1.4","1.4",".",".",".",".",".",".",".","0.5"
"","102","002","260","3.181","16.9","33.5","30.4","8.5","5.0","1.2","1.5","2.3",".",".",".",".",".","0.8",".","."
"","102","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Amer Hist-Civil War-Present","","Course Total","474","3.206","19.0","32.9","30.4","7.8","4.9","1.1","1.5","1.9",".",".",".",".",".","0.4",".","0.2"
"","106","001","58","3.430","31.0","32.8","27.6","3.4","3.4",".",".",".",".",".",".",".",".","1.7",".","."
"","106","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","106","006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Invasions&Empires:Cent Asia","","Course Total","60","3.430","30.0","31.7","26.7","3.3","3.3",".",".",".",".",".",".",".",".","1.7",".","3.3"
"Medieval Europe 410-1500","115","001","53","2.740","15.1","11.3","18.9","28.3","17.0","7.5",".","1.9",".",".",".",".",".",".",".","."
"Modern Europe 1500-1815","119","001","68","3.423","17.6","61.8","10.3","2.9","2.9",".","1.5","2.9",".",".",".",".",".",".",".","."
"Europe&Mod World 1815-On","120","001","39","3.383","28.2","23.1","38.5","2.6","2.6",".",".","5.1",".",".",".",".",".",".",".","."
"English History to 1688","123","001","69","2.958","5.8","27.5","36.2","18.8","7.2",".","2.9","1.4",".",".",".",".",".",".",".","."
"","200","001","12","2.958","8.3","33.3","16.7","25.0","16.7",".",".",".",".",".",".",".",".",".",".","."
"","200","002","15","3.286","20.0","20.0","46.7","6.7",".",".",".",".",".",".",".",".",".","6.7",".","."
"Historical Studies","","Course Total","27","3.135","14.8","25.9","33.3","14.8","7.4",".",".",".",".",".",".",".",".","3.7",".","."
"Islam Wrld:MidEast,500-1500","205","001","109","3.044","20.2","19.3","33.0","11.9","9.2",".","3.7",".",".",".",".",".","0.9",".","1.8","."
"The American Jewish Experience","219","001","42","2.938","11.9","26.2","23.8","19.0","9.5","2.4","2.4","4.8",".",".",".",".",".",".",".","."
"","221","001","35","3.191","22.9","31.4","14.3","17.1","11.4",".",".","2.9",".",".",".",".",".",".",".","."
"","221","003","17","3.375","41.2","23.5","5.9","11.8","11.8",".",".",".",".",".",".",".",".","5.9",".","."
"Explorations in Amer Hist (H)","","Course Total","52","3.250","28.8","28.8","11.5","15.4","11.5",".",".","1.9",".",".",".",".",".","1.9",".","."
"Explorations in Amer Hist (S)","222","001","15","3.036","13.3","26.7","13.3","33.3","6.7",".",".",".",".",".",".",".",".",".",".","6.7"
"Exploration-European Hist (H)","223","001","23","3.262","30.4","21.7","21.7","8.7","4.3","4.3",".","4.3",".",".",".",".",".",".",".","4.3"
"Col,Natn&Minrty:PuertoRican","243","001","71","3.100","8.5","42.3","18.3","22.5","5.6","1.4",".",".",".",".",".",".",".",".","1.4","."
"SE Asia:Vietnam to Philipns","244","001","46","3.211","21.7","30.4","30.4","10.9",".","2.2","2.2","2.2",".",".",".",".",".",".",".","."
"American Business History","247","001","67","3.125","11.9","31.3","28.4","16.4","7.5",".",".",".",".",".",".",".",".","1.5","1.5","1.5"
"Africa: Introductory Survey","277","001","47","3.130","40.4","2.1","23.4","6.4","25.5",".",".",".",".",".",".",".",".",".",".","2.1"
"Hist Am Thought 1859-Pres","302","001","73","3.301","24.7","41.1","24.7","1.4","4.1",".","4.1",".",".",".",".",".",".",".",".","."
"A History of Greek Civ","303","001","66","3.405","22.7","47.0","19.7","4.5",".",".","1.5","3.0","1.5",".",".",".",".",".",".","."
"Crusades: Christianity & Islam","309","001","75","3.474","40.0","30.7","17.3","5.3","2.7",".","1.3",".",".",".",".",".","1.3",".","1.3","."
"The Medieval Church","312","001","71","3.245","22.5","22.5","32.4","4.2","8.5",".",".","9.9",".",".",".",".",".",".",".","."
"The Vietnam Wars","319","001","147","3.661","50.3","33.3","11.6","1.4",".",".","0.7","2.7",".",".",".",".",".",".",".","."
"Sci Revol:Copernicus-Newton","323","001","23","3.250","30.4","21.7","21.7","8.7","13.0",".",".","4.3",".",".",".",".",".",".",".","."
"Cap, Soc, Democ-Am 1890 on","327","001","18","2.806","16.7","11.1","11.1","38.9","22.2",".",".",".",".",".",".",".",".",".",".","."
"The Renaissance","333","001","62","3.005","14.5","17.7","27.4","19.4","12.9",".",".","4.8",".",".",".",".",".","1.6","1.6","."
"Hist-China 1400 BC-589 AD","336","001","36","3.155","22.2","25.0","22.2","13.9","8.3","2.8",".",".","2.8",".",".",".",".","2.8",".","."
"Women & Gender in US to 1870","353","001","36","3.559","38.9","33.3","22.2",".","2.8",".",".","2.8",".",".",".",".",".",".",".","."
"Europe Betwn Wars,1919-1939","356","001","73","3.055","8.2","27.4","34.2","11.0","9.6","1.4",".","2.7",".",".",".",".",".","4.1",".","1.4"
"French Revolution 1685-1799","358","001","71","2.990","9.9","26.8","29.6","19.7","14.1",".",".",".",".",".",".",".",".",".",".","."
"Rev&Natlism-Ireland,1780-On","365","001","82","3.350","29.3","30.5","26.8","6.1","3.7","2.4",".","1.2",".",".",".",".",".",".",".","."
"History of Africa to 1500","376","001","38","2.926","2.6","21.1","50.0","18.4","2.6",".","2.6",".",".",".",".",".",".","2.6",".","."
