"","775
012","1","***","","","","","","","","","","","",".",".",".","",".","",".",".","."
"","775
017","1","***","","","","","","","","","","","",".",".",".","",".","",".",".","."
"","775
020","2","***","","","","","","","","","","","",".",".",".","",".","",".",".","."
"Externship","Course Total","11","",".",".",".",".",".","",".","",".","100.0",".",".",".","",".","",".",".",".","."
"PATH-BIO
703","Dept. Total","536","3.436","27.2","33.6","24.1","3.9","1.9","",".","",".","9.3",".",".",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"703
PATH-BIO","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".","",".","",".",".",".","."
"Junior","","2","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".","",".","",".",".",".","."
"Undergraduates","","3","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".","",".","",".",".",".","."
"Graduate","","5","",".",".",".",".",".","",".","",".","100.0",".",".",".","",".","",".",".",".","."
"Prof Yr 2","","312","3.409","25.0","20.8","22.4","5.4","1.3","",".","",".","25.0",".",".",".","",".","",".",".",".","."
"Prof Yr 3","","75","3.347","26.7","32.0","28.0","10.7","2.7","",".","",".",".",".",".",".","",".","",".",".",".","."
"Prof Yr 4","","45","3.900","42.2",".",".",".","2.2","",".","",".","55.6",".",".",".","",".","",".",".",".","."
"Professionals","","432","3.410","27.1","20.6","21.1","5.8","1.6","",".","",".","23.8",".",".",".","",".","",".",".",".","."
"","Dept. Total","440","3.414","27.3","20.2","20.7","5.7","1.6","",".","",".","24.5",".",".",".","",".","",".",".",".","."
