"E ASIAN LANGUAGES & LITERA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"295
E ASIAN","","","","","","","","","","","","","","","","","","","",""
"699","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","13","3.750","53.8","23.1","7.7",".",".",".",".","7.7",".",".",".",".",".","7.7",".","."
"701
Prosem-Chinese Literature","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"762
Chinese Philosophical Texts","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"775
Stdys-Japanese Linguistics","001","","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading for Research","Course Total","","2","***","","","","","","","","","","","","","","","",""
"932
Smr-Chinese Linguistics","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"951
Smr-Chinese Literature","001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis Research","Course Total","","13","",".",".",".",".",".",".",".","76.9",".",".",".","23.1",".",".",".","."
"E ASIAN
295","Dept. Total","","628","3.294","34.7","25.3","18.8","7.0","5.1","2.1","1.0","3.5","0.2",".",".","0.5","0.3","1.1","0.2","0.3"
