"CURRICULUM AND INSTRUCTIO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","",""
"","367
002","19","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","367
003","19","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","367
004","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Prac-Rdg&Lang:Pre-Middl Sch","Course Total","70","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","368
001","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","368
002","23","3.870","82.6","8.7","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","368
003","25","3.900","88.0","8.0",".","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Tchg Rdg:Preschl-Middl Schl","Course Total","70","3.921","90.0","5.7","2.9","1.4",".",".",".",".",".",".",".",".",".",".",".","."
"","369
001","22","3.977","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
369","23","3.717","73.9","8.7","8.7","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"","369
003","25","3.980","96.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tchg Lang Art:Pre-Middl Sch","Course Total","70","3.893","88.6","5.7","2.9","1.4","1.4",".",".",".",".",".",".",".",".",".",".","."
"","001
370","23","3.935","91.3","4.3","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
002","24","3.870","75.0","16.7","4.2",".",".",".",".",".",".",".",".",".",".","4.2",".","."
"","003
370","22","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
004","18","3.750","55.6","38.9","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teach Math:Preschl-Mid Schl","Course Total","87","3.884","79.3","16.1","3.4",".",".",".",".",".",".",".",".",".",".","1.1",".","."
"","371
001","23","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","371
002","24","3.978","91.7","4.2",".",".",".",".",".",".",".",".",".",".",".",".","4.2","."
"","371
003","22","3.841","81.8","13.6",".",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"Tchg Soc St:Pre-Middle Schl","Course Total","69","3.934","89.9","7.2",".",".","1.4",".",".",".",".",".",".",".",".",".","1.4","."
"","372
001","23","3.935","91.3","4.3","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
372","24","3.804","79.2","4.2","8.3",".","4.2",".",".",".",".",".",".",".",".","4.2",".","."
"","372
003","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tchg Sci:Preschl-Middl Schl","Course Total","69","3.912","89.9","2.9","4.3",".","1.4",".",".",".",".",".",".",".",".","1.4",".","."
"","373
001","22","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","373
002","21","",".",".",".",".",".",".",".",".",".","95.2",".",".",".","4.8",".","."
"","373
003","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","373
004","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Prac-Math,Sci,SocSt:Pre-Mid","Course Total","69","",".",".",".",".",".",".",".",".",".","98.6",".",".",".","1.4",".","."
"Pract: Rdg & Math-Elem Schl","374
001","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","375
001","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
002","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
003","24","3.854","70.8","29.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
004","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
005","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
006","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
007","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
008","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
009","10","3.929","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
010","20","2.921","10.0","15.0","55.0",".","10.0",".","5.0",".",".",".",".",".",".",".","5.0","."
"Proseminar","Course Total","227","3.944","88.5","4.8","4.8",".","0.9",".","0.4",".",".",".",".",".",".",".","0.4","."
"Teaching of Physical Educ","378
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Science-Sec Schl","390
001","16","3.625","62.5","18.8","6.3","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
