"INTEGRATED LIBERAL STUDIES Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","",""
"150
001
Ways of Knowing","150","",".",".",".",".",".",".",".",".",".","99.3","0.7",".",".",".",".","."
"198
004","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
005","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
008","18","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"009
198","16","",".",".",".",".",".",".",".",".",".","93.8","6.3",".",".",".",".","."
"198
010","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
011","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
014","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
016","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
017","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
018","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"198
031","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
039","18","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
040","18","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
042","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
Directed Study","226","",".",".",".",".",".",".",".",".",".","99.6","0.4",".",".",".",".","."
"199
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"199
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"199
055","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Course Total
Directed Study","4","***","","","","","","","","","","","","","","","",""
"200
001
Critical Thinkng & Expressn","115","3.575","39.1","43.5","13.9","0.9","0.9",".","0.9",".",".",".",".",".",".","0.9",".","."
"201
001","244","3.169","18.4","27.9","32.0","11.1","8.2","0.4","0.4",".",".",".",".",".",".","1.6",".","."
"201
002","20","3.450","35.0","30.0","30.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"201
031","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Course Total
W Culture:Sci,Tech,Philos I","265","3.190","19.6","27.9","31.7","10.2","7.9","0.4","0.4",".",".",".",".",".",".","1.5",".","0.4"
"001
202
W Culture:Sci,Tech,Phil II","67","3.306","26.9","28.4","31.3","9.0","3.0","1.5",".",".",".",".",".",".",".",".",".","."
"203
001
West Culture:Lit&The Arts I","251","3.392","37.1","30.7","17.9","5.6","6.0","1.2","0.8","0.8",".",".",".",".",".",".",".","."
"204
001
West Cult: Lit&The Arts II","19","3.447","42.1","36.8","15.8",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"205
001
W Cult:Pol,Econ&Soc Thght I","384","3.108","12.8","25.5","44.8","11.2","2.9","1.6","1.0","0.3",".",".",".",".",".",".",".","."
"206
001
W Cul:Pol,Econ&Soc Thght II","18","3.722","66.7","16.7","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"209
001
Intro to Global Cultures","282","3.518","31.6","49.3","12.1","1.4","0.7","0.7","1.1","1.1",".",".",".",".","0.4","1.8",".","."
"252
001
Contemporary Life Sciences","222","3.025","24.3","8.1","37.8","10.4","16.2","2.3",".",".",".",".",".",".",".","0.5",".","0.5"
"275
001
Special Topics in ILS","17","3.188","41.2","11.8","29.4",".",".","5.9","5.9","5.9",".",".",".",".",".",".",".","."
"400
001
Capstone Integration Seminar","19","3.211","31.6","21.1","31.6","10.5",".",".","5.3",".",".",".",".",".",".",".",".","."
