"600
MATH","","","","","","","","","","","","","","","","","","","",""
"","990
113","3","***","","","","","","","","","",".",".",".","",".",".",".","."
"","990
119","1","***","","","","","","","","","",".",".",".","",".",".",".","."
"Reading and Research","Course Total","17","",".",".",".",".",".",".",".","100.0",".",".",".","",".",".",".",".","."
"Smr-Applied Mathematics","991
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"MATH
600","Dept. Total","7885","2.691","21.1","11.8","21.8","11.2","19.6","7.2","5.2","0.4","0.0","1.3","0.1","",".","0.0","0.1","0.1","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1803","2.670","19.5","11.5","24.8","9.6","18.7","8.3","5.8",".",".","1.2","0.1","",".","0.1","0.2","0.1","0.1"
"Sophomore","","1957","2.833","23.4","14.8","21.2","10.7","18.2","6.5","3.5","0.1",".","1.6","0.1","",".",".",".",".","0.1"
"Junior","","937","2.789","25.0","13.0","20.5","12.4","16.8","7.4","4.2",".",".","0.3",".","",".","0.1","0.2","0.1","0.1"
"Senior","","575","2.817","26.8","11.1","20.5","10.6","19.1","6.1","4.0","0.7","0.2","0.2",".","",".","0.2","0.2","0.2","0.2"
"Undergraduates","","5272","2.764","22.7","12.9","22.2","10.6","18.2","7.2","4.5","0.1","0.0","1.1","0.1","",".","0.1","0.1","0.1","0.1"
"Special","","41","3.282","53.7","7.3","9.8","7.3","7.3","4.9","4.9","2.4",".",".",".","",".",".","2.4",".","."
"Graduate","","343","3.770","75.5","7.0","7.0","1.5","1.5","0.6","0.9","5.8",".",".",".","",".",".",".",".","0.3"
"","Dept. Total","5656","2.817","26.1","12.5","21.2","10.0","17.1","6.8","4.2","0.5","0.0","1.0","0.1","",".","0.1","0.1","0.1","0.1"
