"L&S","","","","","","","","","","","","","","","","","","","",""
"AFRICAN LANGUAGES & LITERA Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"104
AFRICAN","","","","","","","","","","","","","","","","","","","",""
"AFRICAN
Dept. Total
104","618","2.985","24.8","15.9","19.3","14.1","12.5","5.0","2.9","3.7","0.3",".","",".","","0.5","0.2","0.2","0.3","0.5"
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"104
AFRICAN","","","","","","","","","","","","","","","","","","","",""
"Freshmen","42","2.765","11.9","19.0","31.0","9.5","19.0","2.4","4.8","2.4",".",".","",".","",".",".",".",".","."
"Sophomore","104","2.925","20.2","18.3","19.2","14.4","23.1",".","2.9","1.0","1.0",".","",".","",".",".",".",".","."
"Junior","184","2.723","13.6","13.6","23.4","17.9","16.8","5.4","4.3","2.2","1.1",".","",".","",".",".",".","1.1","0.5"
"Senior","148","2.732","21.6","8.8","15.5","13.5","14.2","10.8","4.1","9.5","1.4",".","",".","",".","0.7",".",".","."
"Undergraduates","478","2.775","17.4","13.6","20.7","15.1","17.6","5.6","4.0","4.2","1.0",".","",".","",".","0.2",".","0.4","0.2"
"Special","4","3.667","50.0","25.0","25.0",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"Graduate","37","3.651","40.5","8.1","18.9",".",".",".",".","32.4",".",".","",".","",".",".",".",".","."
"Prof Yr 1","1","2.500",".",".",".","100.0",".",".",".",".",".",".","",".","",".",".",".",".","."
"Professionals","1","2.500",".",".",".","100.0",".",".",".",".",".",".","",".","",".",".",".",".","."
"Dept. Total","520","2.832","19.2","13.3","20.6","14.0","16.2","5.2","3.7","6.2","1.0",".","",".","",".","0.2",".","0.4","0.2"
