"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","",""
"RUR SOC","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","2","0.000",".",".",".",".",".",".","50.0",".","",".",".","",".",".",".","50.0",".","."
"Sophomore","","","9","3.203","33.3","22.2","22.2",".","22.2",".",".",".","",".",".","",".",".",".",".",".","."
"Junior","","","18","3.151","44.4","16.7","22.2","5.6",".",".","11.1",".","",".",".","",".",".",".",".",".","."
"Senior","","","24","2.804","25.0","20.8","12.5","12.5","16.7","4.2","8.3",".","",".",".","",".",".",".",".",".","."
"Undergraduates","","","53","2.935","32.1","18.9","17.0","7.5","11.3","1.9","9.4",".","",".",".","",".",".",".","1.9",".","."
"Special","","","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Graduate","","","40","3.958","27.5","2.5",".",".",".",".",".","62.5","",".",".","",".","5.0","2.5",".",".","."
"","Dept. Total","","95","3.132","31.6","11.6","9.5","4.2","6.3","1.1","5.3","26.3","",".",".","",".","2.1","1.1","1.1",".","."
