"SCANDINAVIAN STUDIES","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"872
SCAND ST","","","","","","","","","","","","","","","","","","","","",""
"First Semester Norwegian","101","001","","21","3.476","38.1","33.3","19.0","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"First Semester Swedish","111","001","","11","3.682","63.6","9.1","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Danish","121","001","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Second Year Norwegian","201","001","","14","3.500","50.0","7.1","28.6",".","7.1",".",".","7.1",".",".",".",".",".",".",".","."
"Second Year Swedish","211","001","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Second Year Danish","221","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Readings in Norwegian Lit","251","001","","10","3.741","40.0","40.0",".",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"Readings in Swedish Lit","261","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Readings in Danish Lit","271","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Intensive Finnish I","301","001","","6","3.700","50.0","16.7","16.7",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Old Norse","407","001","","7","3.917","71.4","14.3",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"History of Scand Languages","414","001","","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Drama of August Strindberg","423","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"19th C Scand Fiction","424","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"20 C Scand Drama & Film","428","001","","9","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mythology of Scandinavia","429","001","","14","3.885","85.7",".",".","7.1",".",".",".","7.1",".",".",".",".",".",".",".","."
"Special Topics","520","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Survey-Scand Lit: 1800-1890","635","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","","Course Total","","5","***","","","","","","","","","","","","","","","",""
