"WILDLIFE ECOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"960
WL ECOL","","","","","","","","","","","","","","","","","","","",""
"100
Dept & Career Orientation","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","007","","44","3.932","97.7",".",".",".",".","2.3",".",".",".",".",".",".",".",".",".","."
"299","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","47","3.939","97.9",".",".",".",".","2.1",".",".",".",".",".",".",".",".",".","."
"318
Principles-Wildlife Ecology","001","","212","2.763","12.7","24.1","17.0","19.3","16.5","7.5","2.4",".",".",".",".",".",".",".","0.5","."
"319
Ecol Prin Appl to Wildlife","001","","48","3.208","16.7","25.0","45.8","8.3","4.2",".",".",".",".",".",".",".",".",".",".","."
"360
Extinction of Species","001","","48","3.031","31.3","14.6","31.3","8.3","6.3",".","8.3",".",".",".",".",".",".",".",".","."
"375
Special Topics","001","","29","3.071","20.7","24.1","27.6","10.3","6.9","6.9",".","3.4",".",".",".",".",".",".",".","."
"401
Physiologicl Animal Ecology","001","","45","3.080","20.0","22.2","31.1","11.1","8.9","4.4",".","2.2",".",".",".",".",".",".",".","."
"527
Ecosystem Management","001","","14","3.462","42.9","21.4","7.1","21.4",".",".",".",".",".",".",".",".","7.1",".",".","."
"561
Wildlife Management Tech","001","","39","3.769","84.6","5.1","5.1",".","2.6",".","2.6",".",".",".",".",".",".",".",".","."
"606
Colloquium in Env Tox","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","0008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"875
Special Topics","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"961
Seminar","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","028","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","21","",".",".",".",".",".",".",".","76.2",".",".",".","23.8",".",".",".","."
