"BIOLOGICAL SYSTEMS ENGINE","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"112
BSE","","","","","","","","","","","","","","","","","","","","",""
"Surveying Fundamentals","201","001","","47","2.851","19.1","6.4","36.2","10.6","23.4","4.3",".",".",".",".",".",".",".",".",".","."
"Field Applicatns-Surveying","202","001","","42","2.738","9.5",".","57.1",".","31.0","2.4",".",".",".",".",".",".",".",".",".","."
"Field Machines","240","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Engr Principles-Biol Systms","249","001","","12","3.125","33.3","8.3","33.3","16.7",".","8.3",".",".",".",".",".",".",".",".",".","."
"Principles of Ag Machinery","361","001","","8","3.000",".","37.5","37.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"Engr Prop-Food & Biol Matls","364","001","","14","2.321","7.1","14.3","14.3","7.1","35.7","21.4",".",".",".",".",".",".",".",".",".","."
"On-Site Waste Water Treatment","372","001","","12","2.625",".","16.7","25.0","41.7","8.3","8.3",".",".",".",".",".",".",".",".",".","."
"Irrigatn&Drainage Sys Dsgn","473","001","","11","3.091","9.1","27.3","45.5","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"Fundmntl-Biol&Ag Engr Desgn","501","001","","24","3.646","50.0","29.2","20.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Food & Phmaceut Separations","642","001","","16","3.450","25.0","50.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Seminar","900","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","018","","6","",".",".",".",".",".",".",".","16.7",".",".",".","83.3",".",".",".","."
"","990","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","","Course Total","","13","",".",".",".",".",".",".",".","38.5",".",".",".","61.5",".",".",".","."
