"BIOLOGY CORE CURRICULUM","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"206
BIOCORE","","","","","","","","","","","","","","","","","","",""
"Evolution,Ecology,&Genetics","301
001","123","3.435","48.8","13.0","28.5","2.4","4.1","3.3",".",".",".",".",".",".",".",".",".","."
"","302
001","24","3.438","37.5","16.7","41.7","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","002
302","22","3.523","40.9","31.8","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","302
003","23","3.500","30.4","39.1","30.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","302
004","24","3.438","37.5","29.2","20.8","8.3","4.2",".",".",".",".",".",".",".",".",".",".","."
"","005
302","22","3.432","27.3","31.8","40.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Evol,Ecol,&Genetics Lab","Course Total","115","3.465","34.8","29.6","30.4","4.3","0.9",".",".",".",".",".",".",".",".",".",".","."
"Organismal Biology","323
001","107","3.407","40.2","23.4","25.2",".","11.2",".",".",".",".",".",".",".",".",".",".","."
"","324
003","15","3.733","46.7","53.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
324","17","3.676","41.2","52.9","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Organismal Biology Lab","Course Total","32","3.703","43.8","53.1","3.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"BIOCORE
206","Dept. Total","377","3.450","41.6","24.4","26.0","2.1","4.8","1.1",".",".",".",".",".",".",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"206
BIOCORE","","","","","","","","","","","","","","","","","","",""
"Sophomore","","46","3.274","21.7","26.1","43.5","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"Junior","","180","3.458","36.7","33.9","22.2","2.2","4.4","0.6",".",".",".",".",".",".",".",".",".","."
"Senior","","92","3.702","65.2","18.5","14.1","1.1",".",".","1.1",".",".",".",".",".",".",".",".","."
"Undergraduates","","318","3.508","42.8","28.3","23.0","2.2","3.1","0.3","0.3",".",".",".",".",".",".",".",".","."
"Graduate","","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","Dept. Total","319","3.508","42.6","28.2","22.9","2.2","3.1","0.3","0.3","0.3",".",".",".",".",".",".",".","."
