"PHM","","","","","","","","","","","","","","","","","","","",""
"SOCIAL & ADMINISTRATIVE PHA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"732
S&A PHM","","","","","","","","","","","","","","","","","","","",""
"105","001","","6","3.417","50.0","16.7","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"105","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Health Care: Intrdis Appr","Course Total","","11","3.719","63.6","18.2","9.1",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"411
Psychosocial Aspects-Pharm","001","","132","3.420","33.3","35.6","18.2","7.6","5.3",".",".",".",".",".",".",".",".",".",".","."
"510
Marketng&Econ Aspects-Pharm","001","","144","3.188","37.5",".","44.4",".","17.4","0.7",".",".",".",".",".",".",".",".",".","."
"561
Greek & Roman Med & Phcy","001","","17","3.324","41.2","5.9","41.2",".","11.8",".",".",".",".",".",".",".",".",".",".","."
"622
Prosem:Social & Behav Phcy","001","","7","3.833","57.1","28.6",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"699","012","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","065","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"911
Conference-Research Workers","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","065","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","9","",".",".",".",".",".",".",".","77.8",".",".",".","22.2",".",".",".","."
"999
Advanced Independent Study","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"S&A PHM
732","Dept. Total","","341","3.360","40.2","15.2","28.2","2.9","10.3","0.3",".","2.1",".",".",".","0.6","0.3",".",".","."
