"SPANISH (SPANISH AND PORTU Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","",""
"","204
018","21","3.381","52.4","9.5","23.8","9.5",".",".","4.8",".",".",".",".",".",".",".",".","."
"","019
204","18","3.324","38.9","22.2","16.7","5.6","5.6","5.6",".",".","5.6",".",".",".",".",".",".","."
"","020
204","18","3.417","33.3","27.8","33.3",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","021
204","19","3.184","36.8","21.1","15.8","5.3","15.8","5.3",".",".",".",".",".",".",".",".",".","."
"","204
022","19","2.921","10.5","31.6","31.6","5.3","15.8",".","5.3",".",".",".",".",".",".",".",".","."
"","204
023","19","3.289","31.6","26.3","21.1","10.5","10.5",".",".",".",".",".",".",".",".",".",".","."
"","024
204","18","3.306","33.3","16.7","38.9",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Spanish","Course Total","428","3.096","24.3","19.2","32.2","8.4","11.9","1.6","1.6","0.2","0.2",".",".",".",".",".",".","0.2"
"","223
001","20","2.850","15.0","20.0","30.0","20.0","5.0","5.0","5.0",".",".",".",".",".",".",".",".","."
"","003
223","19","2.921","26.3","10.5","31.6","5.3","15.8","10.5",".",".",".",".",".",".",".",".",".","."
"","223
004","18","3.083","27.8","16.7","16.7","22.2","16.7",".",".",".",".",".",".",".",".",".",".","."
"","223
005","28","3.732","57.1","32.1","10.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","223
006","25","3.760","68.0","16.0","16.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","223
007","21","3.750","57.1","28.6","9.5",".",".",".",".",".",".",".",".",".",".","4.8",".","."
"Intro to Hispanic Cultures","Course Total","131","3.396","44.3","21.4","18.3","6.9","5.3","2.3","0.8",".",".",".",".",".",".","0.8",".","."
"","224
001","22","2.955","22.7","22.7","9.1","22.7","18.2","4.5",".",".",".",".",".",".",".",".",".","."
"","002
224","23","3.477","52.2","8.7","26.1","4.3",".","4.3",".","4.3",".",".",".",".",".",".",".","."
"","224
003","23","3.630","56.5","13.0","30.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
224","27","3.204","25.9","22.2","37.0","3.7","7.4","3.7",".",".",".",".",".",".",".",".",".","."
"","224
005","22","3.550","31.8","45.5","9.1",".","4.5",".",".","9.1",".",".",".",".",".",".",".","."
"Intro-Hispanic Literatures","Course Total","117","3.355","37.6","22.2","23.1","6.0","6.0","2.6",".","2.6",".",".",".",".",".",".",".","."
"","226
001","22","3.500","45.5","13.6","36.4","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","226
002","18","3.250","27.8","5.6","55.6","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","226
003","19","3.184","10.5","31.6","42.1","15.8",".",".",".",".",".",".",".",".",".",".",".","."
"","226
004","19","3.417","42.1","26.3","5.3","10.5","10.5",".",".","5.3",".",".",".",".",".",".",".","."
"","226
005","21","3.310","23.8","42.9","28.6",".",".",".","4.8",".",".",".",".",".",".",".",".","."
"","226
006","21","3.333","47.6","4.8","33.3","4.8","4.8","4.8",".",".",".",".",".",".",".",".",".","."
"","007
226","23","3.565","65.2","13.0","13.0","4.3",".",".","4.3",".",".",".",".",".",".",".",".","."
"","226
008","22","3.159","13.6","22.7","54.5",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","226
009","23","3.783","69.6","26.1",".",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"","010
226","23","3.717","73.9","13.0","8.7",".",".","4.3",".",".",".",".",".",".",".",".",".","."
"","226
011","24","3.708","66.7","16.7","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","226
012","21","3.381","28.6","23.8","42.9","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","226
013","19","3.421","36.8","26.3","26.3","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"","226
014","21","3.381","28.6","19.0","52.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
015","24","3.458","41.7","20.8","29.2","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"","226
016","20","3.225","40.0","30.0","15.0","5.0",".",".","10.0",".",".",".",".",".",".",".",".","."
"","226
017","22","3.786","63.6","22.7","9.1",".",".",".",".",".",".",".",".",".",".",".","4.5","."
"","226
018","16","3.344","37.5","6.3","50.0",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","226
019","16","3.344","25.0","25.0","43.8","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","226
020","15","3.400","40.0","13.3","33.3","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"Interm Lang Prac-","Course Total","409","3.445","42.5","20.3","28.4","4.6","2.2","0.5","1.0","0.2",".",".",".",".",".",".","0.2","."
"","311
001","21","3.350","19.0","33.3","38.1","4.8",".",".",".","4.8",".",".",".",".",".",".",".","."
"","311
002","20","3.475","50.0","20.0","20.0","5.0",".","5.0",".",".",".",".",".",".",".",".",".","."
"","311
003","20","3.400","30.0","30.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
