"POLITICAL SCIENCE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"Intro-Internatl Relations","103","001","346","3.197","21.1","31.8","24.0","14.2","6.1","0.9","0.9","0.6",".",".",".",".",".","0.6",".","."
"","104","001","506","2.738","11.5","13.8","28.9","21.3","15.6","6.7","1.6",".",".",".",".",".","0.2","0.2","0.2","."
"","104","002","424","2.806","5.7","27.1","24.3","25.7","10.8","4.2","2.1",".",".",".",".",".",".",".",".","."
"","104","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Amer Politcs&Governmt","","Course Total","931","2.769","8.8","19.9","26.7","23.3","13.4","5.6","1.8",".",".",".",".",".","0.1","0.1","0.1","0.1"
"","106","001","252","2.743","9.5","21.0","24.6","19.8","17.1","4.0","3.6",".",".",".",".",".",".",".","0.4","."
"","106","002","171","3.166","25.1","25.7","29.8","7.0","7.0","1.2","2.9","0.6",".",".",".",".",".","0.6",".","."
"","106","003","56","3.055","19.6","23.2","23.2","19.6","8.9","3.6",".","1.8",".",".",".",".",".",".",".","."
"","106","031","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Comparative Politics","","Course Total","480","2.929","16.3","22.9","26.3","15.2","12.5","2.9","2.9","0.4",".",".",".",".",".","0.2","0.2","0.2"
"Intro to American Politics","184","001","19","3.316","31.6","36.8","15.8","5.3","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"","201","001","15","3.433","33.3","40.0","13.3","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","201","002","27","3.135","22.2","22.2","29.6","11.1","7.4","3.7",".",".",".",".",".",".","3.7",".",".","."
"Spec Topics in Poli Sci","","Course Total","42","3.244","26.2","28.6","23.8","9.5","7.1","2.4",".",".",".",".",".",".","2.4",".",".","."
"Intro to Political Theory","209","001","210","3.185","17.1","26.7","38.1","11.9","4.3","1.0",".",".",".",".",".",".",".","1.0",".","."
"Law, Politics and Society","217","001","160","2.908","16.3","21.9","22.5","22.5","7.5","5.0","2.5","0.6",".",".",".",".",".","0.6","0.6","."
"Understndng Politcl Numbers","218","001","76","2.693","14.5","14.5","22.4","22.4","15.8","2.6","6.6",".",".",".",".",".",".",".",".","1.3"
"Intro to East Asian Civ","222","001","31","3.383","51.6","22.6","6.5","6.5","3.2",".","6.5","3.2",".",".",".",".",".",".",".","."
"Politcs:Multi-Cultural Soc","230","001","96","2.846","13.5","12.5","38.5","11.5","16.7","3.1","2.1","2.1",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","9","3.167","22.2","22.2","33.3","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"Civs of India-Modern Period","252","001","26","3.174","7.7","42.3","19.2","11.5","7.7",".",".",".",".",".",".",".",".",".","11.5","."
"Africa: Introductory Survey","277","001","24","2.958","37.5","8.3","25.0",".","16.7","8.3","4.2",".",".",".",".",".",".",".",".","."
"Politics of World Economy","312","001","90","3.556","53.3","17.8","20.0","5.6","1.1",".","1.1",".",".",".",".",".",".",".","1.1","."
"Prin-International Law","316","001","109","3.276","10.1","43.1","40.4","1.8","0.9",".","0.9","1.8",".",".",".",".",".",".","0.9","."
