"DESIGN STUDIES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"359
DS","","","","","","","","","","","","","","","","","","","",""
"Design: Fundamentals I","120
001","","105","3.014","11.4","24.8","38.1","12.4","8.6","3.8",".","1.0",".",".",".",".",".",".",".","."
"","153
001","","14","3.214","21.4","28.6","28.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".","."
"","153
002","","17","3.029","5.9","23.5","47.1","17.6","5.9",".",".",".",".",".",".",".",".",".",".","."
"","153
003","","13","3.346","23.1","23.1","53.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fabric & Apparel Structures I","Course Total","","44","3.182","15.9","25.0","43.2","11.4","4.5",".",".",".",".",".",".",".",".",".",".","."
"Fashion Illustration","210
001","","14","3.214","28.6","42.9","7.1",".","14.3","7.1",".",".",".",".",".",".",".",".",".","."
"Design: Fundamentals II","220
001","","18","3.176","11.1","33.3","33.3","11.1","5.6",".",".","5.6",".",".",".",".",".",".",".","."
"Inter Envir & Hum Behavior","221
001","","79","2.696","6.3","16.5","30.4","19.0","20.3","7.6",".",".",".",".",".",".",".",".",".","."
"Interior Architect Design","223
001","","27","3.111","29.6","11.1","25.9","18.5","14.8",".",".",".",".",".",".",".",".",".",".","."
"","226
001","","13","3.423","30.8","38.5","23.1",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","226
002","","17","3.265","23.5","23.5","41.2","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"Textile Design: Off-Loom","Course Total","","30","3.333","26.7","30.0","33.3","3.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"Textile Dsgn:Print & Dye I","227
002","","17","3.529","47.1","35.3","11.8",".",".","5.9",".",".",".",".",".",".",".",".",".","."
"","228
001","","16","3.406","25.0","43.8","25.0",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","228
002","","14","3.357","21.4","35.7","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Design:Structural I","Course Total","","30","3.383","23.3","40.0","30.0","3.3","3.3",".",".",".",".",".",".",".",".",".",".","."
"Textile Design: Weaving I","229
001","","14","3.464","28.6","42.9","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Patternmaking-Apparel Design","253
001","","14","3.071","14.3","28.6","28.6","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"","299
023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Design: Sketching&Rendering","320
001","","18","3.167","16.7","44.4","27.8",".","5.6",".","5.6",".",".",".",".",".",".",".",".","."
"Interior Design II","322
001","","26","3.385","23.1","38.5","34.6",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"","323
001","","11","3.545","27.3","54.5","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","323
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"CAD: Architecture&Interiors","Course Total","","16","3.600","31.3","50.0","12.5",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"Dsgn-Manual/Comptr Gen Imagery","327
001","","14","3.286","21.4","28.6","35.7","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Am Dec Arts & Int: 1620-1840","363
001","","11","2.800","9.1","9.1","36.4","27.3",".","9.1",".",".",".",".",".",".",".","9.1",".","."
"European Interiors to 18 C","421
001","","41","3.098","36.6","4.9","36.6",".","14.6","7.3",".",".",".",".",".",".",".",".",".","."
"","425
001","","7","3.214","14.3","42.9","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","425
002","","10","3.200","30.0","30.0",".","30.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Apparel Design II","Course Total","","17","3.206","23.5","35.3","11.8","17.6","11.8",".",".",".",".",".",".",".",".",".",".","."
"History of Textiles","430
001","","27","3.204","37.0","3.7","40.7","7.4","7.4","3.7",".",".",".",".",".",".",".",".",".","."
"","501
002","","13","3.538","38.5","30.8","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
003","","39","3.756","66.7","17.9","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","54","3.673","61.1","20.4","18.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Environmental Aesthetics","548
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Textile:Spec & End Use Anal","561
001","","13","3.538","38.5","38.5","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","601
007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","601
015","","7","3.972","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
