"SPANISH (SPANISH AND PORTU Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","",""
"","311
004","21","3.286","38.1","14.3","23.8","14.3","9.5",".",".",".",".",".",".",".",".",".",".","."
"","311
005","23","3.614","34.8","47.8","13.0",".",".",".",".","4.3",".",".",".",".",".",".",".","."
"","311
006","20","3.600","45.0","40.0","10.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","311
007","20","2.925","25.0","15.0","25.0","10.0","20.0",".","5.0",".",".",".",".",".",".",".",".","."
"","008
311","23","3.522","65.2","13.0","8.7","4.3","4.3",".","4.3",".",".",".",".",".",".",".",".","."
"Advanced Language Practice","Course Total","168","3.401","38.7","26.8","20.8","6.0","4.8","0.6","1.2","1.2",".",".",".",".",".",".",".","."
"Topics in Span Lang Pract","319
001","21","3.738","71.4","9.5","14.3","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","320
002","23","3.587","47.8","34.8","8.7","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"","320
003","22","3.545","63.6","13.6","9.1","4.5","4.5","4.5",".",".",".",".",".",".",".",".",".","."
"Spanish Phonetics","Course Total","45","3.567","55.6","24.4","8.9","4.4","4.4","2.2",".",".",".",".",".",".",".",".",".","."
"","322
001","25","3.440","40.0","28.0","16.0","12.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"","322
002","23","3.455","34.8","30.4","21.7","4.3","4.3",".",".",".",".",".",".",".",".","4.3",".","."
"Survey of Early Hispanic Lit","Course Total","48","3.447","37.5","29.2","18.8","8.3","4.2",".",".",".",".",".",".",".",".","2.1",".","."
"Adv Lang Prac-Expos Writing","001
323","29","3.414","37.9","17.2","37.9","3.4","3.4",".",".",".",".",".",".",".",".",".",".","."
"Survey of Modern Spanish Lit","324
001","29","3.143","37.9","17.2","13.8","10.3","10.3","3.4","3.4","3.4",".",".",".",".",".",".",".","."
"Survey of Spanish American Lit","326
001","25","3.500","56.0","8.0","24.0","4.0","8.0",".",".",".",".",".",".",".",".",".",".","."
"Old Spanish","335
001","16","3.531","37.5","31.3","31.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"College Teaching of Spanish","351
001","20","3.900","85.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spanish Civilization","361
002","26","3.782","73.1","15.4","7.7","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"The Spanish American Novel","463
002","19","3.133","47.4","10.5","21.1",".","10.5",".","10.5",".",".",".",".",".",".",".",".","."
"Surv-Sp Am Lit:Modrn-Presnt","502
001","32","3.766","62.5","28.1","9.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Literatura del Siglo de Oro","513
002","27","3.691","70.4","18.5","7.4",".",".","3.7",".",".",".",".",".",".",".",".",".","."
"","516
000A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","002
516","22","2.959","27.3","9.1","27.3","9.1","22.7","4.5",".",".",".",".",".",".",".",".",".","."
"Literatura Hispanoamericana","Course Total","23","2.959","26.1","8.7","26.1","8.7","21.7","4.3",".","4.3",".",".",".",".",".",".",".","."
"","520
001","27","3.875","81.5","11.1","7.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","520
002","28","3.402","46.4","21.4","21.4","7.1",".",".","3.6",".",".",".",".",".",".",".",".","."
"Topics in Hispanic Culture","Course Total","55","3.633","63.6","16.4","14.5","3.6",".",".","1.8",".",".",".",".",".",".",".",".","."
"Historia-Teoria Literaria","627
001","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681
034","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
033","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
034","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
043","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
048","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Medieval Literature","727
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Modern Spanish Lit","765
001","17","3.735","58.8","29.4","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Spanish American Lit","801
001","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spanish Grammatcl Tradition","830
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","899
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","899
020","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","899
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","4","***","","","","","","","","","","","","","","","",""
