"ALS","","","","","","","","","","","","","","","","","","","","",""
"AGRICULTURAL AND APPLIED E Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"108
A A E","","","","","","","","","","","","","","","","","","","","",""
"A A E
Dept. Total
108","443","3.361","37.0","24.8","19.6","4.5","4.7","1.4","1.8","5.0","",".",".","",".","",".","0.7","0.5",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"108
A A E","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","63","2.873","20.6","14.3","28.6","12.7","14.3","3.2","3.2",".","",".",".","",".","",".",".","3.2",".","."
"Sophomore","75","3.236","41.3","14.7","22.7","6.7","10.7","2.7","1.3",".","",".",".","",".","",".",".",".",".","."
"Junior","80","3.085","31.3","17.5","22.5","11.3","13.8","1.3","2.5",".","",".",".","",".","",".",".",".",".","."
"Senior","141","3.219","37.6","15.6","19.9","14.2","9.2","1.4","0.7",".","",".",".","",".","",".","0.7",".","0.7","."
"Undergraduates","359","3.133","34.0","15.6","22.6","11.7","11.4","1.9","1.7",".","",".",".","",".","",".","0.3","0.6","0.3","."
"Special","10","3.111","30.0","10.0","20.0","10.0","20.0",".",".","10.0","",".",".","",".","",".",".",".",".","."
"Graduate","100","3.658","36.0","31.0","7.0","1.0","1.0",".",".","20.0","",".",".","",".","",".","4.0",".",".","."
"Dept. Total","469","3.225","34.3","18.8","19.2","9.4","9.4","1.5","1.3","4.5","",".",".","",".","",".","1.1","0.4","0.2","."
