"","990
030","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
032","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
037","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","34","",".",".",".",".",".",".",".","55.9",".",".",".","44.1",".",".",".","."
"DY SCI
292","Dept. Total","253","3.445","49.8","13.0","13.0","2.8","5.5","1.2","0.4","8.3",".",".",".","5.9",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"292
DY SCI","","","","","","","","","","","","","","","","","","",""
"Freshmen","","10","3.474","40.0","30.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Sophomore","","19","2.918","31.6","15.8","10.5","15.8","26.3",".",".",".",".",".",".",".",".",".",".","."
"Junior","","28","3.109","42.9","10.7","10.7","10.7","25.0",".",".",".",".",".",".",".",".",".",".","."
"Senior","","60","3.259","50.0","10.0","13.3","13.3","13.3",".",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","117","3.176","44.4","12.8","12.8","12.8","17.1",".",".",".",".",".",".",".",".",".",".","."
"Special","","2","2.600",".","50.0",".",".","50.0",".",".",".",".",".",".",".",".",".",".","."
"Graduate","","138","3.633","34.8","7.2","6.5","0.7","0.7","0.7",".","41.3",".",".",".","7.2",".",".","0.7","."
"","Dept. Total","257","3.293","38.9","10.1","9.3","6.2","8.6","0.4",".","22.2",".",".",".","3.9",".",".","0.4","."
