"BUS","","","","","","","","","","","","","","","","","","","",""
"REAL ESTATE & URBAN LAND E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"239
REAL EST","","","","","","","","","","","","","","","","","","","",""
"The Real Estate Process","306
001","","181","3.064","23.2","16.0","34.3","8.8","13.3","2.8","0.6","1.1",".",".",".",".",".",".",".","."
"Real Estate Law","312
001","","45","3.300","20.0","37.8","31.1","8.9",".","2.2",".",".",".",".",".",".",".",".",".","."
"","399
083","","8","3.813","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
091","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rdg & Rsch-Urban Land Econ","Course Total","","9","3.824","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","410
001","","38","3.579","44.7","28.9","23.7","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"","410
002","","37","3.486","51.4","16.2","16.2","10.8","5.4",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Finance","Course Total","","75","3.533","48.0","22.7","20.0","6.7","2.7",".",".",".",".",".",".",".",".",".",".","."
"Urban & Regional Economics","001
420","","105","3.219","16.2","38.1","27.6","11.4","5.7","1.0",".",".",".",".",".",".",".",".",".","."
"The Real Estate Process","706
001","","15","3.643","46.7","26.7","20.0",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"Real Estate Finance","710
001","","34","3.455","23.5","47.1","20.6","5.9",".",".",".","2.9",".",".",".",".",".",".",".","."
"Real Estate Law","712
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Techniques-Real Est Valuatn","715
001","","25","3.740","60.0","28.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Commercial Proprty Devlpmnt","750
001","","33","3.547","39.4","33.3","21.2",".","3.0",".",".","3.0",".",".",".",".",".",".",".","."
"","765
001","","16","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
030","","39","3.590","43.6","35.9","15.4","5.1",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","","55","3.698","56.4","25.5","14.5","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg & Rsch-Urban Land Econ","799
083","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Urban Land Econ PhD","978
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Real Estate","990
083","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"REAL EST
239","Dept. Total","","588","3.331","32.3","26.5","25.3","7.0","5.6","1.2","0.2","1.5",".",".",".","0.2",".",".",".","0.2"
