"","990
035","2","***","","","","","","","","","",".",".",".",".","",".",".","."
"","990
036","1","***","","","","","","","","","",".",".",".",".","",".",".","."
"","990
039","1","***","","","","","","","","","",".",".",".",".","",".",".","."
"Research","Course Total","32","",".",".",".",".",".",".",".","50.0",".",".",".","50.0","",".",".",".","."
"PL PATH
766","Dept. Total","167","3.356","41.9","14.4","13.2","5.4","3.6","1.2",".","10.8",".",".",".","9.6","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"766
PL PATH","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","6","2.324","16.7",".","33.3","16.7",".","16.7","16.7",".",".",".",".",".","",".",".",".","."
"Sophomore","","10","3.404","30.0","10.0","60.0",".",".",".",".",".",".",".",".",".","",".",".",".","."
"Junior","","15","3.488","40.0","26.7","13.3","13.3","6.7",".",".",".",".",".",".",".","",".",".",".","."
"Senior","","27","3.090","22.2","18.5","18.5","11.1","14.8",".","7.4","7.4",".",".",".",".","",".",".",".","."
"Undergraduates","","58","3.169","27.6","17.2","25.9","10.3","8.6","1.7","5.2","3.4",".",".",".",".","",".",".",".","."
"Special","","7","3.429","28.6","14.3",".","28.6",".",".",".","28.6",".",".",".",".","",".",".",".","."
"Graduate","","79","3.687","46.8","8.9","8.9",".",".",".",".","22.8",".",".",".","12.7","",".",".",".","."
"","Dept. Total","144","3.382","38.2","12.5","15.3","5.6","3.5","0.7","2.1","15.3",".",".",".","6.9","",".",".",".","."
