"FOOD SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"390
FOOD SCI","","","","","","","","","","","","","","","","","","",""
"","120
001","145","3.430","47.6","21.4","13.1","8.3","5.5","2.1","0.7","0.7",".",".",".",".",".",".",".","0.7"
"","120
002","196","3.427","50.0","19.4","13.8","5.1","6.1","1.5","2.0","2.0",".",".",".",".",".",".",".","."
"","003
120","195","3.445","48.2","22.6","15.4","4.1","2.6","4.1","1.0","2.1",".",".",".",".",".",".",".","."
"Science of Food","Course Total","536","3.434","48.7","21.1","14.2","5.6","4.7","2.6","1.3","1.7",".",".",".",".",".",".",".","0.2"
"Prof-Dietetics & Nutrition","001
200","38","",".",".",".",".",".",".",".",".",".","86.8","13.2",".",".",".",".","."
"Nature of Food","235
001","94","3.064","30.9","9.6","33.0","7.4","12.8","6.4",".",".",".",".",".",".",".",".",".","."
"","236
001","13","3.846","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","236
002","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","236
003","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nature of Food - Laboratory","Course Total","40","3.900","82.5","15.0","2.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","299
013","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Analysis of Food Products","310
001","16","3.406","50.0","18.8","12.5",".","18.8",".",".",".",".",".",".",".",".",".",".","."
"Food Bacteriology Lab","324
001","7","3.214","42.9",".","28.6","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"Food Bacteriology","325
001","59","3.576","52.5","23.7","16.9",".","6.8",".",".",".",".",".",".",".",".",".",".","."
"","399
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
023","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","4","***","","","","","","","","","","","","","","","",""
"Food Service Operations","437
001","41","3.366","9.8","58.5","26.8","4.9",".",".",".",".",".",".",".",".",".",".",".","."
"","438
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","438
002","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Food Service Operations Lab","Course Total","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Food Serv Operations CUP","439
001","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Principles of Food Engr","440
001","20","3.075","25.0","15.0","30.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"Food Science Capstone","499
001","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Principles of Food Chem-Lab","512
001","16","3.031","18.8","25.0","18.8","18.8","18.8",".",".",".",".",".",".",".",".",".",".","."
"Food Processing I","530
001","21","2.643","4.8","38.1","9.5","14.3","19.0","9.5","4.8",".",".",".",".",".",".",".",".","."
"Food Enzymes","612
001","15","3.333","20.0","46.7","13.3","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"Food & Phmaceut Separations","642
001","14","3.500","14.3","71.4","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Trends in Food Safety","670
001","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681
027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","5","***","","","","","","","","","","","","","","","",""
"Practicum-Food Sci Teaching","799
027","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar Advanced","900
001","8","3.688","37.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 22 of 391"
