"ALS","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTERDIS COURSES (C A L S)","Section","#","","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"494
INTER-AG","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ways of Knowing","150
001","","23","",".",".",".",".","",".",".","",".","",".","",".","","95.7","4.3","",".","",".","",".",".","."
"Issues in Ag, Envir & Life Sci","155
001","","89","3.910","93.3","2.2","1.1",".","3.4","",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"Undergrad Research Experience","250
001","","11","3.889","90.9",".","9.1",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"Intro to Undergrad Research","288
001","","11","4.000","100.0",".",".",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"CALS Honor Interdis Jr Seminar","388
001","","15","4.000","100.0",".",".",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"Engaged Learning-Comm Service","393
001","","10","",".",".",".",".",".","",".","",".","",".","",".","","100.0",".","",".","",".","",".",".","."
"INTER-AG
494","Dept. Total","","159","3.930","74.8","1.3","1.3",".","","1.9","",".","",".","",".","",".","20.1","","0.6","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"494
INTER-AG","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","10","4.000","20.0",".",".",".","",".","",".","",".","",".","",".","80.0","",".","",".","",".",".",".","."
"Sophomore","","","22","3.818","18.2",".","4.5",".","",".","",".","",".","",".","",".","77.3","",".","",".","",".",".",".","."
"Junior","","","6","",".",".",".",".","",".","",".","",".","",".","",".","100.0","",".","",".","",".",".",".","."
"Senior","","","3","3.500","33.3","33.3","33.3",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","41","3.750","17.1","2.4","4.9",".","",".","",".","",".","",".","",".","75.6","",".","",".","",".",".",".","."
"Graduate","","","1","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","42","3.776","19.0","2.4","4.8",".","",".","",".","",".","",".","",".","73.8","",".","",".","",".",".",".","."
