"EDU","","","","","","","","","","","","","","","","","","",""
"CURRICULUM AND INSTRUCTIO Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","",""
"392
001
School Services-Com Dis","","40","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"393
001
Teach Secondary Schl Math I","","16","3.781","68.8","18.8","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"396
001
Teaching of English","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"399
015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399
021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399
077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Course Total
Independent Study","","4","***","","","","","","","","","","","","","","","",""
"422
001
Tchg Child Lit-Elem & Middl","","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"425
001","","24","3.896","83.3","12.5","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"002
425","","26","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"425
003","","25","3.920","84.0","16.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Course Total
Concrn&Constrnt-Tch Yng Chl","","75","3.927","86.7","12.0","1.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"446
001
Stdt Teach-Sec Schl French","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"447
001
Stdt Teach-Sec Schl German","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"455
001
Student Teaching in Latin","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"456
001","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"456
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Course Total
Stdt Teach-Sec Schl Spanish","","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"457
001
Stdt Tchg-Health Education","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"458
001
Stdt Tch-His&Soc St Mid Sch","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"459
001
Stdt Tchg Hist&Soc St in HS","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"001
463
Seminar:K-Mid Schl Teaching","","71","3.986","97.2","2.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"464
001","","51","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"464
002","","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"464
003","","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
Stdt Tchg in Elem School","","74","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"465
001","","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"465
002","","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
Stdt Tchg-Kindergarten","","23","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"466
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"466
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Course Total
Stdt Teaching-Music:Elem","","5","***","","","","","","","","","","","","","","","",""
"467
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"467
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Course Total
Stdt Teaching-Music:Secndry","","5","***","","","","","","","","","","","","","","","",""
"472
001
Stdt Teaching Engl-Mid Schl","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"490
001
Stdt Teach-Science in H.S.","","9","",".",".",".",".",".",".",".",".",".","88.9","11.1",".",".",".",".","."
"494
001
Student Teaching in HS Math","","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"495
001
Stdt Teach Sci-MiddleSchl","","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"496
001
Stdt Teaching-English in HS","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"497
001
Stdt Teach-Middle Schl Math","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"498
001","","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
