"ART HISTORY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"180
ART HIST","","","","","","","","","","","","","","","","","","","",""
"Ancient and Medieval Art","201","001","157","3.152","31.8","13.4","26.8","12.1","8.9","0.6","2.5","0.6",".",".",".",".",".","0.6","2.5","."
"Renaissance to Modern Art","202","001","214","3.352","37.9","19.2","27.1","7.5","4.2","0.5","1.4","0.9",".",".",".",".",".","0.5","0.9","."
"W Architecture:Renaiss-Mod","208","001","68","3.667","51.5","23.5","16.2",".","1.5",".",".","2.9","1.5",".",".",".",".","2.9",".","."
"Greek Art","300","001","44","3.333","36.4","20.5","18.2","11.4","9.1",".",".","4.5",".",".",".",".",".",".",".","."
"Hellenistic Art","303","001","35","3.194","34.3","22.9","17.1","8.6","8.6","2.9","2.9","2.9",".",".",".",".",".",".",".","."
"Early Christian & Byzantine","310","001","28","3.036","14.3","17.9","21.4","14.3","3.6","7.1",".","17.9",".",".",".",".",".",".",".","3.6"
"Donatello-da Vinci:14-1500","322","001","46","2.808","6.5","26.1","17.4","19.6","13.0","4.3","2.2","10.9",".",".",".",".",".",".",".","."
"Brit Art & Soc,18 c-Present","346","001","37","3.413","43.2","21.6","18.9","8.1",".","2.7","2.7",".",".",".",".",".",".",".","2.7","."
"Arts of India","362","001","39","3.317","20.5","33.3","28.2","10.3","2.6",".",".",".",".",".",".",".",".","2.6","2.6","."
"Am Dec Arts & Int: 1620-1840","363","001","31","3.247","25.8","9.7","41.9","6.5","6.5",".",".","3.2",".",".",".",".",".",".","3.2","3.2"
"Chinese Painting","371","001","30","2.444","13.3","16.7","13.3","3.3","20.0","10.0","10.0","6.7",".",".",".",".",".",".","6.7","."
"Japanese Paint&Woodblk Prnt","375","001","51","3.115","17.6","27.5","35.3","7.8","2.0","3.9","2.0",".",".",".",".",".","2.0",".","2.0","."
"Topics in Twentieth-Cent Art","408","001","49","3.441","36.7","28.6","16.3","6.1","8.2",".",".",".",".",".",".",".","2.0",".","2.0","."
"Topics in Asian Art","411","001","14","3.093","21.4","28.6","14.3","28.6",".","7.1",".",".",".",".",".",".",".",".",".","."
"Hist of Painting in India","443","001","26","3.259","7.7","50.0","30.8",".","7.7",".",".",".",".",".",".",".",".","3.8",".","."
"Topics-Architecturl History","449","001","12","3.650","33.3","41.7","8.3",".",".",".",".","8.3",".",".",".",".",".",".","8.3","."
"Topics-Amer Material Culture","463","001","13","3.462","23.1","46.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Frank Lloyd Wright","468","001","96","3.395","35.4","25.0","19.8","9.4","4.2","1.0",".","5.2",".",".",".",".",".",".",".","."
"Prosem:Spec Topics-Art Hist","500","001","16","3.344","25.0","43.8","25.0",".",".","6.3",".",".",".",".",".",".",".",".",".","."
"Prosem-Ital Renaissance Art","525","001","14","3.143","14.3","28.6","35.7","14.3","7.1",".",".",".",".",".",".",".",".",".",".","."
"Intro to Museum Studies I","601","001","18","3.639","33.3","61.1","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","681","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Senior Thesis","691","007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","010","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","4","***","","","","","","","","","","","","","","","",""
"Practicum in Art History","701","001","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","007","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","018","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","029","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","033","6","3.833","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","","Course Total","16","3.957","75.0","18.8",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"Smr:Spec Topics-Art History","800","001","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Smr-19 Cent European Art","855","001","6","3.700","50.0","16.7","16.7",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"","990","006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","007","2","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 161 of 391",""
