"CURRICULUM AND INSTRUCTIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","",""
"498","002","","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teaching-Middle School","Course Total","","21","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"500
Literacy & Language Developmnt","001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"501
Health Info for Teachers","001","","111","3.775","63.1","29.7","6.3","0.9",".",".",".",".",".",".",".",".",".",".",".","."
"506","001","","63","3.863","76.2","19.0","1.6","1.6",".",".",".",".",".",".",".",".",".",".",".","1.6"
"506","002","","25","3.780","64.0","32.0",".","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Strategy-Inclusive Schoolng","Course Total","","88","3.839","72.7","22.7","1.1","2.3",".",".",".",".",".",".",".",".",".",".",".","1.1"
"514
Instrctnl Computn-Schools I","001","","20","3.750","75.0",".","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"561
Teacher Ed-Human Sexuality","001","","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"567
Iss, Mtls & Mthds-Hlth Educ","001","","26","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"600
Methods-Instructn w/Technol","001","","19","3.868","73.7","26.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"604
Seminar on Literacy","001","","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"605
Intro-Video Production-Educ","001","","12","3.864","66.7","25.0",".",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"606
Criticl Educ Pract-Internet","001","","6","3.900","66.7","16.7",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"620
Fld Proj-Lib&Info Agencies","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"626
Action Research in Schools","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"630","001","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"630","002","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wrkshp-Schl Program Develop","Course Total","","19","4.000","94.7",".",".",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"632
Literature and Literacy","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"660
Early Childhood Education","001","","39","3.651","46.2","43.6","7.7",".","2.6",".",".",".",".",".",".",".",".",".",".","."
"674
Adv Methods in Teaching ESL","001","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","001","","10","3.722","60.0","10.0","20.0",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"675","002","","12","3.833","50.0","25.0",".",".",".",".",".",".",".",".",".",".","25.0",".",".","."
"675","003","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"General Seminar","Course Total","","33","3.840","69.7","12.1","6.1",".",".",".",".",".",".",".",".",".","12.1",".",".","."
"690","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","084","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"690","095","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Field Work","Course Total","","9","3.889","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"692
School Practicum in Com Dis","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","057","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","073","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","074","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","084","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","088","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","","Page 85 of 391"
