"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"BUS","","","","","","","","","","","","","","","","","","",""
"OPERATIONS & TECHNOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"238
OTM","","","","","","","","","","","","","","","","","","",""
"Operations Research-Mgt","312
001","26","3.327","26.9","34.6","19.2","15.4","3.8",".",".",".",".",".",".",".",".",".",".","."
"","350
001","225","3.123","20.0","21.8","38.2","8.9","7.6","2.7","0.4",".",".",".",".",".",".","0.4",".","."
"","350
002","91","3.050","12.1","24.2","38.5","12.1","11.0","1.1",".",".",".",".",".",".",".","1.1",".","."
"Mgmt-Serv&Manufctng Operatn","Course Total","316","3.102","17.7","22.5","38.3","9.8","8.5","2.2","0.3",".",".",".",".",".",".","0.6",".","."
"Rdg&Rsch-Operatns&Info Mgmt","399
121","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Operations Research I","410
001","14","3.393","21.4","50.0","21.4",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Economics of Transportation","444
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Service Operations Mgmt","451
001","21","3.619","47.6","28.6","23.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Transp & Business Logistics","640
001","18","3.639","50.0","27.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Logistics Strategies","646
001","20","3.825","70.0","25.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Operations Research I","710
001","24","3.609","37.5","41.7","16.7",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"","730
001","39","3.434","35.9","25.6","25.6","7.7","2.6",".",".",".",".",".",".",".",".","2.6",".","."
"","730
002","35","3.157","17.1","31.4","28.6","11.4","11.4",".",".",".",".",".",".",".",".",".",".","."
"Managerial Economics","Course Total","74","3.301","27.0","28.4","27.0","9.5","6.8",".",".",".",".",".",".",".",".","1.4",".","."
"Economics of Transportation","744
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Logistics Strategy","746
001","16","3.500","43.8","12.5","43.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","750
001","44","3.830","81.8","2.3","15.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","750
002","45","3.956","91.1","8.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Operations Management","Course Total","89","3.893","86.5","5.6","7.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Service Operations Managmnt","001
751","7","3.500","42.9","14.3","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Manage Tech Change-Mfg Syst","758
001","15","3.633","40.0","46.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","41","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
030","41","3.488","41.5","29.3","19.5","4.9","4.9",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","82","3.744","70.7","14.6","9.8","2.4","2.4",".",".",".",".",".",".",".",".",".",".","."
"Intro-Qual&Prodtvty Imprvmt","770
001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg&Rsch-Operatns&Info Mgmt","799
030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Operatns&Inf Mgt","990
076","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
037","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
093","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Read&Rsch-Oper&Info Mgt PhD","Course Total","2","***","","","","","","","","","","","","","","","",""
