"CHEMICAL & BIOLOGICAL ENGR Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"220
CBE","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","211
001","","26","2.808","19.2","15.4","30.8","7.7","15.4","7.7","3.8",".",".",".",".",".",".",".",".","."
"","002
211","","18","3.028","22.2","11.1","38.9","5.6","22.2",".",".",".",".",".",".",".",".",".",".","."
"Chem Process Thermodynamics","Course Total","","44","2.898","20.5","13.6","34.1","6.8","18.2","4.5","2.3",".",".",".",".",".",".",".",".","."
"","250
001","","35","2.800","11.4","14.3","25.7","31.4","11.4","5.7",".",".",".",".",".",".",".",".",".","."
"","250
002","","40","2.825","17.5","12.5","30.0","12.5","22.5","2.5","2.5",".",".",".",".",".",".",".",".","."
"Process Synthesis","Course Total","","75","2.813","14.7","13.3","28.0","21.3","17.3","4.0","1.3",".",".",".",".",".",".",".",".","."
"Thermodynamics of Mixtures","311
001","","50","2.590","18.0","8.0","20.0","6.0","38.0","8.0","2.0",".",".",".",".",".",".",".",".","."
"Intro Transport Phenomena","320
001","","55","2.936","20.0","16.4","27.3","10.9","23.6",".","1.8",".",".",".",".",".",".",".",".","."
"","324
002","","13","3.423","30.8","23.1","46.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","324
003","","7","3.214","28.6",".","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","004
324","","12","3.500","58.3",".","25.0","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Transport Phenomena Lab","Course Total","","32","3.406","40.6","9.4","40.6","9.4",".",".",".",".",".",".",".",".",".",".",".","."
"Momentum&Heat Transfer Oper","001
326","","33","2.773","24.2","9.1","21.2","12.1","24.2","6.1","3.0",".",".",".",".",".",".",".",".","."
"Undergrad Rheology Seminar","425
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Mass Transfer Operations","426
001","","36","3.069","22.2","19.4","22.2","22.2","13.9",".",".",".",".",".",".",".",".",".",".","."
"Chem Kinetcs & Reactor Dsgn","430
001","","52","3.000","23.1","11.5","30.8","19.2","13.5",".","1.9",".",".",".",".",".",".",".",".","."
"Chemical Engineering Matl","440
001","","67","2.836","13.4","11.9","29.9","20.9","22.4","1.5",".",".",".",".",".",".",".",".",".","."
"Process Design","450
001","","34","3.294","17.6","44.1","20.6","14.7","2.9",".",".",".",".",".",".",".",".",".",".","."
"Process Dynamics & Control","470
001","","26","2.923","15.4","19.2","19.2","26.9","19.2",".",".",".",".",".",".",".",".",".",".","."
"Macromolecular Hydrodynamcs","525
001","","9","3.222","44.4","22.2","11.1",".","11.1","11.1",".",".",".",".",".",".",".",".",".","."
"","540
010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","540
012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","540
030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","540
540","","11","3.364","36.4","27.3","9.1","27.3",".",".",".",".",".",".",".",".",".",".",".","."
"Polymer Sci & Technology","Course Total","","15","3.364","26.7","20.0","6.7","20.0",".",".",".","20.0",".",".",".","6.7",".",".",".","."
"Plastics & High Polymer Lab","001
541","","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biochemical Engineering","560
001","","34","3.162","41.2","11.8","11.8","14.7","17.6","2.9",".",".",".",".",".",".",".",".",".","."
"","562
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","562
002","","6","3.750","50.0",".","16.7",".",".",".",".","16.7",".",".",".",".","16.7",".",".","."
"Spec Topics in ChE","Course Total","","8","3.800","50.0",".","12.5",".",".",".",".","12.5",".",".",".",".","12.5","12.5",".","."
"Solar Energy Technology","567
001","","6","3.250","16.7","16.7","66.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","599
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
006","","8","3.795","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","599
007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 107 of 391",""
