"CONSUMER SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"271
CNSR SCI","","","","","","","","","","","","","","","","","","",""
"","275
001","129","2.930","9.3","26.4","31.0","15.5","14.0","3.9",".",".",".",".",".",".",".",".",".","."
"","275
002","54","3.038","11.1","31.5","24.1","20.4","9.3","1.9",".",".",".",".",".",".",".",".","1.9","."
"Consumer Finance","Course Total","183","2.962","9.8","27.9","29.0","16.9","12.6","3.3",".",".",".",".",".",".",".",".","0.5","."
"Independent Study","299
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Mediatn:Serving Consumr Int","350
001","60","3.758","68.3","23.3","5.0","1.7",".","1.7",".",".",".",".",".",".",".",".",".","."
"","357
001","31","3.565","54.8","16.1","19.4","6.5","3.2",".",".",".",".",".",".",".",".",".",".","."
"","002
357","32","3.600","56.3","18.8","15.6",".",".",".","3.1","3.1","3.1",".",".",".",".",".",".","."
"Retailing Theory & Practice","Course Total","63","3.582","55.6","17.5","17.5","3.2","1.6",".","1.6","1.6","1.6",".",".",".",".",".",".","."
"","001
370","11","3.364","18.2","36.4","45.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
002","9","3.188","11.1","22.2","44.4","11.1",".",".",".",".",".",".",".",".",".","11.1",".","."
"Comp Applicatns-Retailing","Course Total","20","3.289","15.0","30.0","45.0","5.0",".",".",".",".",".",".",".",".",".","5.0",".","."
"Hist-Consumr Movemnts in US","001
470","31","3.290","12.9","41.9","35.5","9.7",".",".",".",".",".",".",".",".",".",".",".","."
"The Consumer and the Market","477
001","102","3.623","51.0","31.4","11.8","4.9",".","1.0",".",".",".",".",".",".",".",".",".","."
"Consumer Information","478
001","54","3.935","90.7","7.4",".","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"","501
001","24","3.583","45.8","25.0","29.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
501","24","3.646","58.3","20.8","16.7",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","48","3.615","52.1","22.9","22.9",".","2.1",".",".",".",".",".",".",".",".",".",".","."
"Retail Promotion","560
001","33","3.818","75.8","12.1","12.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar in Consumer Science","565
001","18","3.556","44.4","22.2","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Family Econ & Public Policy","575
001","26","3.212","30.8","30.8","26.9","3.8",".",".","7.7",".",".",".",".",".",".",".",".","."
"Consumer Science Internship","601
015","25","3.867","80.0","12.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Experience-Retailing","602
015","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Advanced Consumer Finance","627
001","53","3.142","17.0","26.4","34.0","20.8",".",".","1.9",".",".",".",".",".",".",".",".","."
"Consumer Behavior","657
001","41","3.427","39.0","31.7","19.5","4.9","2.4",".","2.4",".",".",".",".",".",".",".",".","."
"Household Risk Management","665
001","31","3.210","29.0","16.1","41.9","6.5","3.2",".","3.2",".",".",".",".",".",".",".",".","."
"","699
005","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
011","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
075","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","24","3.839","91.7","4.2","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
075","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","4","***","","","","","","","","","","","","","","","",""
"Independent Study","999
009","5","***","","","","","","","","","",".",".",".",".",".",".","."
