"ENGR PROFESSIONAL DEVELO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","","",""
"Communicating Technical Info","617
001","","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","630
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rsch-Japanese Technical Lit","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","690
002","","33","3.848","81.8","12.1","3.0",".","3.0",".",".",".",".",".",".",".",".",".",".","."
"","690
004","","18","3.333","27.8","27.8","33.3","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"","690
012","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","013
690","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
026","","17","4.000","11.8",".",".",".",".",".",".","88.2",".",".",".",".",".",".",".","."
"Special Topics in E P D","Course Total","","91","3.770","61.5","11.0","7.7","1.1","2.2",".",".","16.5",".",".",".",".",".",".",".","."
"","699
018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
023","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
036","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","053
699","","7","3.000","42.9",".","14.3",".",".",".","14.3",".",".",".",".",".","28.6",".",".","."
"","699
063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","16","3.385","62.5","12.5","6.3",".",".",".","6.3",".",".",".",".",".","12.5",".",".","."
