"ENGR PROFESSIONAL DEVELO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","",""
"Contemp Iss-Engr Profession","101
001","239","3.563","42.3","33.9","21.3","0.8","0.8","0.8",".",".",".",".",".",".",".",".",".","."
"Technical Info Resources","151
052","23","3.750","82.6",".","4.3","4.3",".","4.3",".",".",".",".",".",".",".","4.3",".","."
"","155
001","18","3.361","50.0","16.7","16.7","11.1",".",".","5.6",".",".",".",".",".",".",".",".","."
"","155
002","19","3.711","47.4","47.4","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
003","20","3.450","20.0","55.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","155
004","18","3.306","5.6","55.6","33.3","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","155
005","20","3.150","20.0","15.0","40.0","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","155
006","19","3.605","47.4","36.8","10.5",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","155
007","20","3.625","40.0","45.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
008","20","3.525","45.0","20.0","30.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","155
009","18","2.944","11.1","16.7","38.9","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"","155
010","21","3.690","66.7","14.3","9.5","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"","155
011","19","3.026","10.5","15.8","42.1","31.6",".",".",".",".",".",".",".",".",".",".",".","."
"","155
012","19","3.278","42.1","15.8","15.8","15.8",".",".","5.3",".",".",".",".",".",".","5.3",".","."
"","155
013","20","3.625","55.0","35.0","5.0",".",".","5.0",".",".",".",".",".",".",".",".",".","."
"","155
014","19","3.789","73.7","10.5","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
016","19","3.000","52.6","10.5","5.3",".","10.5","15.8","5.3",".",".",".",".",".",".",".",".","."
"Basic Communication","Course Total","289","3.411","39.4","27.3","20.1","8.3","2.1","1.4","1.0",".",".",".",".",".",".","0.3",".","."
"Introduction to Engineering","001
160","198","3.591","43.9","34.8","19.2","1.5",".",".","0.5",".",".",".",".",".",".",".",".","."
"","199
017","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","199
042","8","3.438","12.5","62.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Freshman Independent Study","Course Total","11","3.292","27.3","45.5","18.2",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","275
001","17","3.735","58.8","29.4","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
002","16","3.594","50.0","31.3","6.3","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","275
003","19","3.684","42.1","52.6","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Presentations","Course Total","52","3.673","50.0","38.5","7.7","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"","374
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","374
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","374
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermed Tech Japanese I","Course Total","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Elems: Comp-Assist Publishg","395
002","13","3.577","38.5","38.5","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Communication","397
001","172","3.664","50.6","35.5","9.3","3.5","0.6",".",".",".",".",".",".",".",".","0.6",".","."
"Tech Communications Intrshp","398
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","413
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","413
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","413
003","8","3.900","50.0","12.5",".",".",".",".",".",".",".",".",".",".","37.5",".",".","."
"Japanese for Bus & Industry","Course Total","13","3.850","53.8","23.1",".",".",".",".",".",".",".",".",".",".","23.1",".",".","."
"Engr Applicatns of Statistics","416
001","30","3.983","93.3","3.3",".",".",".",".",".",".",".",".",".",".","3.3",".",".","."
"Technical Editing","497
001","9","3.500","77.8","11.1",".",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"Adv Technical Japanese Smr","530
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Tech&Professnl Communicatn","597
001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engr Economics & Management","611
001","29","3.914","86.2","10.3","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Project Management","612
001","29","3.517","41.4","20.7","37.9",".",".",".",".",".",".",".",".",".",".",".",".","."
