"GREEK (CLASSICS)","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"428
GREEK","","","","","","","","","","","","","","","","","","","",""
"103
First Semester Greek","001","","13","2.958","7.7","38.5","15.4","15.4","7.7","7.7",".",".",".",".",".",".",".","7.7",".","."
"303
First Semester Greek","001","","6","3.921","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"305
Intermediate Greek","001","","9","3.444","55.6",".","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"532
Thucydides","001","","13","3.769","53.8","46.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699
Directed Study","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individual Research Thesis","Course Total","","3","***","","","","","","","","","","","","","","","",""
"970","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"970","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Related Fields","Course Total","","6","3.900","66.7","16.7",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
