"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","",""
"","210
002","96","3.047","29.2","17.7","26.0","8.3","10.4","6.3","2.1",".",".",".",".",".",".",".",".","."
"","003
210","182","2.684","20.3","7.1","22.5","18.7","20.9","6.0","4.4",".",".",".",".",".",".",".",".","."
"","210
004","98","2.801","19.4","10.2","30.6","9.2","22.4","7.1","1.0",".",".",".",".",".",".",".",".","."
"","210
005","90","2.533","14.4","12.2","26.7","10.0","16.7","14.4","5.6",".",".",".",".",".",".",".",".","."
"","006
210","97","3.000","27.8","13.4","26.8","9.3","16.5","5.2","1.0",".",".",".",".",".",".",".",".","."
"","210
007","95","3.372","28.4","24.2","42.1","1.1","3.2",".",".",".",".",".",".",".",".","1.1",".","."
"Topics-Finite Mathematics","Course Total","752","2.868","23.4","13.0","26.9","10.9","16.5","6.4","2.8",".",".",".",".",".",".","0.1",".","."
"","001
211","107","2.670","16.8","10.3","24.3","15.9","19.6","9.3","2.8","0.9",".",".",".",".",".",".",".","."
"","002
211","216","2.793","28.2","15.7","15.3","9.3","16.7","5.1","8.3","0.5",".",".",".",".","0.9",".",".","."
"Calculus","Course Total","323","2.752","24.5","13.9","18.3","11.5","17.6","6.5","6.5","0.6",".",".",".",".","0.6",".",".","."
"","213
001","57","2.938","28.1","10.5","26.3","5.3","21.1","5.3","1.8","1.8",".",".",".",".",".",".",".","."
"","002
213","72","2.676","13.9","16.7","15.3","16.7","20.8","9.7","1.4","4.2","1.4",".",".",".",".",".",".","."
"Calc/Intro-Differntl Equats","Course Total","129","2.794","20.2","14.0","20.2","11.6","20.9","7.8","1.6","3.1","0.8",".",".",".",".",".",".","."
"","001
221","220","2.573","15.0","12.3","22.3","14.1","20.9","8.2","6.4",".",".",".",".",".",".","0.5",".","0.5"
"","221
002","191","2.683","14.1","14.7","23.0","19.4","16.8","9.4","2.6",".",".",".",".",".",".",".",".","."
"","003
221","186","2.707","13.4","16.1","27.4","12.4","21.5","4.3","4.8",".",".",".",".",".",".",".",".","."
"","004
221","238","2.443","8.4","13.0","24.8","13.4","23.9","9.2","7.1",".",".",".",".",".",".",".",".","."
"","221
005","188","2.330","18.1","3.7","29.8","1.6","20.2","13.8","12.8",".",".",".",".",".",".",".",".","."
"","221
006","234","2.712","23.5","12.8","17.5","10.7","21.8","9.4","4.3",".",".",".",".",".",".",".",".","."
"","221
007","19","2.737","36.8",".","15.8",".","31.6","15.8",".",".",".",".",".",".",".",".",".","."
"Calculus&Analytic Geometry","Course Total","1276","2.577","15.8","12.0","23.7","11.8","21.2","9.2","6.2",".",".",".",".",".",".","0.1",".","0.1"
"","001
222","236","2.545","22.5","7.6","22.5","6.4","20.3","11.9","8.1","0.4",".",".",".",".",".","0.4",".","."
"","002
222","218","2.644","16.1","19.7","19.7","13.8","14.2","9.2","7.3",".",".",".",".",".",".",".",".","."
"","222
003","185","2.538","9.7","12.4","22.7","19.5","21.6","11.4","2.7",".",".",".",".",".",".",".",".","."
"","222
004","173","2.465","8.7","15.6","29.5","13.3","11.6","11.0","9.8",".",".",".",".",".",".","0.6",".","."
"Calculus&Analytic Geometry","Course Total","812","2.553","14.9","13.7","23.3","12.8","17.1","10.8","7.0","0.1",".",".",".",".",".","0.2",".","."
"","234
001","174","2.727","24.1","10.9","20.1","9.2","23.6","7.5","4.6",".",".",".",".",".",".",".",".","."
"","002
234","257","2.707","17.9","15.6","18.7","21.8","14.4","4.3","7.0",".","0.4",".",".",".",".",".",".","."
"","234
003","235","2.455","17.0","10.2","18.3","11.5","24.3","8.5","9.8","0.4",".",".",".",".",".",".",".","."
"Calc--Functns of Variables","Course Total","666","2.623","19.2","12.5","18.9","14.9","20.3","6.6","7.4","0.2","0.2",".",".",".",".",".",".","."
