"CHEMISTRY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","",""
"Intmed Organic Chemistry","345","001","165","2.755","21.8","7.3","33.3","7.9","18.2","6.7","4.8",".",".",".",".",".",".",".",".","."
"","346","001","9","3.500","33.3","11.1","55.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","346","002","15","3.346","40.0","13.3","13.3","26.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"Intmed Organic Chem Lab","","Course Total","24","3.397","37.5","12.5","29.2","16.7","4.2",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Rheology Seminar","425","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Inorganic Chemistry","511","001","38","3.658","65.8","21.1","7.9",".","2.6",".","2.6",".",".",".",".",".",".",".",".","."
"Intmed Analytical Chem","524","001","29","3.495","62.1","10.3","17.2","3.4",".","3.4","3.4",".",".",".",".",".",".",".",".","."
"Physical Chemistry","561","001","30","2.310","10.0","3.3","26.7","16.7","16.7","16.7","6.7",".",".",".",".",".",".","3.3",".","."
"Physical Chemistry","562","001","41","3.110","24.4","7.3","46.3","9.8","12.2",".",".",".",".",".",".",".",".",".",".","."
"","563","001","15","3.233","33.3","6.7","46.7",".","13.3",".",".",".",".",".",".",".",".",".",".","."
"","563","002","13","3.538","38.5","30.8","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","563","003","13","3.654","38.5","53.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","563","004","15","3.600","40.0","46.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","563","007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Physical Chemistry Lab","","Course Total","57","3.483","36.8","33.3","24.6","1.8","3.5",".",".",".",".",".",".",".",".",".",".","."
"","564","001","9","3.333","44.4","11.1","22.2","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"","564","002","8","2.875","12.5","12.5","50.0","12.5",".","12.5",".",".",".",".",".",".",".",".",".","."
"Physical Chemistry Lab","","Course Total","17","3.118","29.4","11.8","35.3","11.8","5.9","5.9",".",".",".",".",".",".",".",".",".","."
"Biophysical Chemistry","565","001","75","3.074","33.3","4.0","34.7","13.3","8.0","2.7","2.7",".",".",".",".",".",".","1.3",".","."
"Chem Bonding & Reactivity","603","001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spectrochemical Measuremts","605","001","24","3.458","33.3","29.2","33.3","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Symmtry/Bondng/Molec Shapes","608","001","15","3.646","33.3","53.3","6.7",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"Instrumental Analysis","621","001","19","3.281","26.3","31.6","26.3","5.3","10.5",".",".",".",".",".",".",".",".",".",".","."
"Topics-Analytical Chemistry","630","002","21","3.881","76.2","23.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Chem Instrumentatn: NMR","636","001","18","3.611","38.9","44.4","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Organic Chemistry","641","001","23","3.609","47.8","26.1","26.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chem & Stat Thermodynamics","661","001","13","3.462","38.5","23.1","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Phys Chem of Macromolecules","664","001","14","3.543","35.7","42.9","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biophysical Chemistry","665","001","15","3.200","26.7",".","60.0","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Quantum Chemistry","675","001","15","3.567","46.7","20.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","681","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","043","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"","682","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","049","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Senior Thesis","691","023","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","011","3","***","","","","","","","","","",".",".",".",".",".",".","."
