"ACCOUNTING AND INFO SYSTE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","","",""
"770","002","","33","3.818","72.7","21.2","3.0","3.0",".",".",".",".",".",".",".",".",".",".",".","."
"Smr:Financial Reporting Theory","Course Total","","64","3.859","76.6","20.3","1.6","1.6",".",".",".",".",".",".",".",".",".",".",".","."
"971
Smr-Accounting Research","001","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","085","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Accounting","Course Total","","3","***","","","","","","","","","","","","","","","",""
"999","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","136","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Readng & Rsch-Accountng PhD","Course Total","","2","***","","","","","","","","","","","","","","","",""
