"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","",""
"JEWISH STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"510
JEWISH","","","","","","","","","","","","","","","","","","",""
"Introduction to Judaism","211
001","45","3.378","17.8","42.2","37.8","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"The American Jewish Experience","219
001","33","3.091","12.1","30.3","33.3","18.2","3.0","3.0",".",".",".",".",".",".",".",".",".","."
"Intro to Biblical Lit","227
001","13","3.500","46.2","15.4","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Represnt-Jew in E Eurpn Cul","229
001","13","3.500","38.5","30.8","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","236
001","8","3.188","37.5","12.5","12.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".","."
"","236
002","18","3.222","16.7","22.2","50.0","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Jewish Composers-Modern Era","Course Total","26","3.212","23.1","19.2","38.5","15.4","3.8",".",".",".",".",".",".",".",".",".",".","."
"Biblical Poetry in Translation","237
001","7","3.000","28.6","14.3","14.3","14.3","28.6",".",".",".",".",".",".",".",".",".",".","."
"Intro-Biblical Archaeology","241
001","17","3.118",".","47.1","41.2",".","11.8",".",".",".",".",".",".",".",".",".",".","."
"In Tran:Yiddsh Lit-E Europe","269
001","37","3.473","21.6","67.6","8.1",".",".",".","2.7",".",".",".",".",".",".",".",".","."
"Intro to Hebrew Literature","301
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Jewish Cultural History","369
001","52","3.032","17.3","21.2","21.2","25.0","5.8","3.8",".","5.8",".",".",".",".",".",".",".","."
"Survey of Modern Hebrew Lit","401
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Jewish Philos:Antiquity-17c","435
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Moral Philos & the Holocaust","442
001","10","3.833","60.0","30.0",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Educ & Jewish Civilization","475
001","15","3.233","6.7","53.3","26.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"Hist-Eur Jewry, 1648-1939","529
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rdgs-Contemp Hebrew Lit","533
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","2","***","","","","","","","","","","","","","","","",""
"JEWISH
510","Dept. Total","278","3.269","21.2","36.0","26.3","10.1","3.6","1.1","0.4","1.4",".",".",".",".",".",".",".","."
