"COMMUNICATION ARTS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","",""
"","100
047","13","3.269","15.4","46.2","23.1","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"","100
048","14","2.893",".","35.7","42.9","14.3",".",".","7.1",".",".",".",".",".",".",".",".","."
"","100
049","12","2.583",".","8.3","16.7","58.3","16.7",".",".",".",".",".",".",".",".",".",".","."
"","050
100","15","3.233","13.3","40.0","33.3","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","051
100","14","3.357","14.3","57.1","21.4",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","100
052","11","2.909",".","63.6","9.1","9.1","9.1",".","9.1",".",".",".",".",".",".",".",".","."
"","100
053","11","2.818",".","36.4","45.5",".","9.1",".","9.1",".",".",".",".",".",".",".",".","."
"","100
054","11","3.273","9.1","45.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","100
055","11","3.136","9.1","45.5","18.2","18.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"","100
056","13","3.500","30.8","53.8","7.7",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","100
057","15","3.067","20.0","40.0","26.7",".",".","6.7","6.7",".",".",".",".",".",".",".",".","."
"","058
100","11","3.318","27.3","63.6",".",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"","059
100","15","3.200","33.3","33.3","13.3","6.7","6.7",".","6.7",".",".",".",".",".",".",".",".","."
"","100
060","15","3.500","20.0","60.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
061","14","2.750","7.1","35.7","21.4","14.3","7.1","7.1","7.1",".",".",".",".",".",".",".",".","."
"","100
062","13","3.500","23.1","53.8","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
063","13","3.077","15.4","23.1","38.5","7.7","15.4",".",".",".",".",".",".",".",".",".",".","."
"Intro to Speech Composition","Course Total","868","3.201","13.6","41.5","30.1","8.6","3.8","1.2","1.3",".",".",".",".",".",".",".",".","."
"","105
001","10","3.000",".","30.0","40.0","30.0",".",".",".",".",".",".",".",".",".",".",".","."
"","002
105","18","3.500","33.3","27.8","33.3",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"","105
003","16","3.344","18.8","50.0","18.8","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"","105
004","17","3.500","17.6","64.7","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
005","17","3.206",".","58.8","23.5","17.6",".",".",".",".",".",".",".",".",".",".",".","."
"","105
006","12","3.292",".","66.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","105
007","16","3.406","12.5","56.3","31.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
008","15","3.400","20.0","46.7","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","105
009","17","3.250","11.8","47.1","17.6","11.8","5.9",".",".","5.9",".",".",".",".",".",".",".","."
"Public Speaking","Course Total","138","3.338","13.8","50.0","25.4","8.0","1.4",".",".","1.4",".",".",".",".",".",".",".","."
"Elements of Speech-Honors","181
001","11","3.545","36.4","45.5","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","250
001","206","2.956","7.3","19.9","48.5","11.2","10.7","1.9","0.5",".",".",".",".",".",".",".",".","."
"","250
040","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Radio,TV&Film as Mass Media","Course Total","207","2.960","7.7","19.8","48.3","11.1","10.6","1.9","0.5",".",".",".",".",".",".",".",".","."
"","260
001","132","3.273","35.6","21.2","27.3","6.1","5.3","3.0","1.5",".",".",".",".",".",".",".",".","."
"","260
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Communication & Human Behav","Course Total","133","3.270","35.3","21.1","27.8","6.0","5.3","3.0","1.5",".",".",".",".",".",".",".",".","."
"","262
001","95","3.426","32.6","36.8","22.1","2.1","5.3","1.1",".",".",".",".",".",".",".",".",".","."
"","262
002","20","2.868",".","25.0","50.0","10.0","5.0",".","5.0","5.0",".",".",".",".",".",".",".","."
"","262
003","24","3.109",".","41.7","33.3","20.8",".",".",".",".",".",".",".",".",".",".",".","4.2"
"","262
004","23","2.957","8.7","26.1","43.5","8.7","8.7",".","4.3",".",".",".",".",".",".",".",".","."
"","262
005","21","2.857",".","28.6","42.9","19.0","4.8",".","4.8",".",".",".",".",".",".",".",".","."
"Thry&Pract-Argument&Debate","Course Total","183","3.202","18.0","33.9","31.7","8.2","4.9","0.5","1.6","0.5",".",".",".",".",".",".",".","0.5"
"Thry&Pract-Group Discussion","001
266","75","3.407","48.0","16.0","25.3","4.0","2.7","1.3","2.7",".",".",".",".",".",".",".",".","."
"Great Speakers and Speeches","270
001","87","2.977","12.6","25.3","27.6","18.4","12.6","1.1","1.1","1.1",".",".",".",".",".",".",".","."
"Intro-Interpersonal Com","272
001","103","3.660","66.0","16.5","11.7","2.9","1.0",".","1.9",".",".",".",".",".",".",".",".","."
"","350
001","160","2.724","3.8","11.3","35.6","34.4","10.6","2.5","1.3","0.6",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 180 of 391",""
