"ART EDUCATION (DEPT OF ART) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"176
ART ED","","","","","","","","","","","","","","","","","","",""
"Art in Elementary Education","323
001","22","3.773","54.5","45.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Art in Secondary Education","324
001","23","3.935","91.3","4.3","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Teaching Art","470
001","22","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Teaching Art","493
001","22","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
059","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
061","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading & Rsch","Course Total","11","3.917","72.7","18.2",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"Contemp Practices in Art Ed","900
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar in Art Education","951
001","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Independent Reading","999
061","2","***","","","","","","","","","",".",".",".",".",".",".","."
"ART ED
176","Dept. Total","117","3.893","79.5","18.8","0.9",".",".",".",".",".",".",".",".",".","0.9",".",".","."
