"DAIRY SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"292
DY SCI","","","","","","","","","","","","","","","","","","","",""
"101
Livestock Production","001","","37","3.419","37.8","24.3","29.7",".","8.1",".",".",".",".",".",".",".",".",".",".","."
"299","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","024","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","132","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"305
Lactation","001","","30","3.317","43.3","10.0","26.7","6.7","13.3",".",".",".",".",".",".",".",".",".",".","."
"311
Comparative Animal Nutritn","001","","14","2.464","14.3","14.3","7.1","21.4","28.6","7.1","7.1",".",".",".",".",".",".",".",".","."
"313","001","","7","3.571","71.4",".","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"313","002","","8","2.750","37.5",".","25.0",".","12.5","25.0",".",".",".",".",".",".",".",".",".","."
"Animal Feeds&Diet Formulatn","Course Total","","15","3.133","53.3",".","20.0",".","13.3","13.3",".",".",".",".",".",".",".",".",".","."
"370
Livestck Prod&Hlth-Ag Dvlpm","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"375","001","","9","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","002","","13","3.692","46.2","46.2","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","22","3.714","50.0","45.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","3","***","","","","","","","","","","","","","","","",""
"466
Dairy Cattle Breeding","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"690
Proseminar","001","","17","3.471","35.3","29.4","29.4","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"699","024","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"875","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"875","004","","9","3.500","33.3","22.2","33.3",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","12","3.609","41.7","25.0","25.0",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"900","001","","7","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"900","002","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"900","004","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar","Course Total","","33","4.000","97.0",".",".",".",".",".",".","3.0",".",".",".",".",".",".",".","."
"990","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","","Page 16 of 391"
